"ensembl","entrez","hgnc_symbol","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"ENSG00000171603",22883,"CLSTN1",6.40676215778142,6.84969166831921,6.26259105815172,6.22612151344596,6.20421546043265,6.31002817322751,6.03458461144422,6.61133371406232,6.44035379748791,5.82702141508246
"ENSG00000164434",2173,"FABP7",5.08384922574117,5.44577041132024,5.3701310693898,5.11302029451282,5.20273032647538,5.53031821411717,5.11665755422071,5.10087059637445,5.07345255402583,5.10351687046917
"ENSG00000071462",114049,"WBSCR22",6.40676215778142,6.92026484666833,6.5562358078106,6.22612151344596,6.47146428329979,6.42408580321599,6.56318523407975,6.51758285480858,6.18706262672762,6.0829076763086
"ENSG00000141002",22980,"TCF25",8.6214028722971,8.58679374274209,8.88267968830821,8.26201359076017,8.28454699462782,8.51473945601062,8.423931801314,8.59142228231018,8.52570489013543,7.96335971420456
"ENSG00000268471",100616193,"MIR4453",4.81020568041892,4.71053199576477,4.76259711294854,4.33057497578978,4.99408455497058,4.33057497578978,4.75444462058805,4.33057497578978,4.99646340112394,4.33057497578978
"ENSG00000177575",9332,"CD163",5.1539313635356,5.1707204069151,5.07342482916069,4.93957821688211,5.07080979827573,5.11771503819928,5.26535123602001,5.21664631009443,4.99646340112394,5.32086016823607
"ENSG00000156218",57188,"ADAMTSL3",6.81973710263742,6.88543549533701,6.8902951226294,6.66904596789277,7.13157103403595,7.10847303232754,6.93848455180044,7.24898023646027,6.76153110781847,6.78806590070921
"ENSG00000235398",728855,"LINC00623",6.32322774251126,6.4022853683921,5.65487304329589,6.00595668740216,6.03249821929372,6.01522858824293,6.11672198974331,6.43398394156944,6.38159413570462,5.73755016808706
"ENSG00000101605",8736,"MYOM1",5.1539313635356,5.38475506748666,4.33057497578978,4.82904109448525,5.66269278052598,5.53031821411717,6.36753511151594,4.64815398230621,5.41867999450969,4.64926641150223
"ENSG00000164292",22836,"RHOBTB3",4.91667051133938,5.08409300646659,4.93930625600087,4.93957821688211,5.20273032647538,4.68607714955073,4.84878597012825,4.77880194166747,4.90851164935756,5.03754555015943
"ENSG00000014919",1355,"COX15",7.91019753788836,8.12316040315929,8.0940842426034,7.9063011843642,7.687304972159,7.71576636735542,7.38603735893493,8.13230526514117,8.2529264778303,7.03118178637874
"ENSG00000041802",55341,"LSG1",7.26982279730721,7.08224675999241,7.46018575647226,7.92091772989458,7.64851743612138,6.95607136716422,7.34723150195724,7.56108288725781,7.47229363904193,8.19084364469697
"ENSG00000198670",4018,"LPA",6.30146066464113,6.7559763337159,6.14740543636066,6.25106692639226,5.95066954806737,6.28593903375769,6.23041933390007,6.6411626555235,6.6190380211125,5.90986873265149
"ENSG00000117360",9129,"PRPF3",5.38442102628343,5.91129601872617,5.92729698891236,6.39120467277957,5.8317482755834,6.07438566279539,6.15579765515544,6.43398394156944,6.6190380211125,5.53232583032709
"ENSG00000079739",5236,"PGM1",4.33057497578978,4.33057497578978,4.33057497578978,4.82904109448525,4.80179550786164,4.94326711770608,4.63083304763756,4.33057497578978,4.33057497578978,4.88035503537441
"ENSG00000207133",100033419,"SNORD116-7",5.08384922574117,5.74862184927635,5.44960954020166,5.11302029451282,5.20273032647538,5.43076458906773,5.11665755422071,5.21664631009443,5.20581845776957,5.27181221872882
"ENSG00000137970",NA,"RPL7P9",6.08636266943856,5.50304654230017,6.29874373993708,5.91170825832327,5.95066954806737,5.74297521239075,5.773658545884,6.18708861382728,6.03807265202381,5.73755016808706
"ENSG00000137843",56924,"PAK6",5.56720342014526,5.70391296727921,5.59101768913044,5.73496917923586,5.76723642875782,5.88720103833144,5.92324366265249,6.05424906441673,5.86777549634271,5.49367925421877
"ENSG00000115756",3241,"HPCAL1",4.67050226832838,4.98495933069681,4.33057497578978,4.93957821688211,4.99408455497058,4.94326711770608,5.30933797680237,4.96196522107549,4.99646340112394,5.03754555015943
"ENSG00000123815",79934,"ADCK4",5.97706275737285,5.83290441584397,6.06415098863901,5.65543454430296,5.86265995890414,5.92055317799763,5.56843983185842,5.87794516338133,5.80490032797348,5.49367925421877
"ENSG00000178125",286187,"PPP1R42",5.56720342014526,4.86638489070362,5.3701310693898,5.03209247546797,5.3665445345955,5.11771503819928,5.11665755422071,5.03511598814263,5.41867999450969,5.32086016823607
"ENSG00000110171",10612,"TRIM3",5.1539313635356,4.98495933069681,5.07342482916069,5.52337941333484,5.26100236490234,5.43076458906773,5.26535123602001,5.03511598814263,5.20581845776957,5.3672571736407
"ENSG00000228175",492303,"GEMIN8P4",5.1539313635356,5.70391296727921,4.33057497578978,5.4243474966848,5.1397380760095,5.19077974789163,4.99723756767575,5.36377182930422,5.26428353756215,5.21966779382149
"ENSG00000147400",1069,"CETN2",6.38638331235545,6.32379910332462,6.02026690898822,6.14813511499973,6.15756351767852,6.3336683022176,6.30083277072634,6.30703450057041,5.95602632465925,6.12807287737411
"ENSG00000136237",9771,"RAPGEF5",5.38442102628343,5.1707204069151,4.76259711294854,5.03209247546797,5.46083483178187,5.3767112527272,5.39108663382659,5.26862512278149,4.90851164935756,5.67353010042903
"ENSG00000105672",2116,"ETV2",5.27718777135377,5.38475506748666,5.18529622415279,5.37058298420186,4.90643818311714,5.31917690005135,5.21887707152116,5.21664631009443,5.14261493160186,5.03754555015943
"ENSG00000244357",NA,"RN7SL145P",4.91667051133938,5.2484107202343,5.18529622415279,5.03209247546797,5.07080979827573,5.31917690005135,5.16949691998761,5.44966713376282,5.37016909039387,5.03754555015943
"ENSG00000260936",100505692,"FTO-IT1",10.9175798238681,11.2570050389389,11.9811637891531,10.8913833837593,10.8587655699222,10.9022336329972,11.1041706934467,10.4984970488897,10.8211402531086,10.3527861833477
"ENSG00000272767",84989,"JMJD1C-AS1",4.81020568041892,4.33057497578978,4.76259711294854,4.82904109448525,4.66451533263707,4.94326711770608,4.92789986858822,4.64815398230621,4.90851164935756,4.96415089569497
"ENSG00000165355",254170,"FBXO33",5.52466062708532,5.50304654230017,4.93930625600087,5.97537556384824,5.8317482755834,5.70375863818237,5.87554420497904,5.70153182045803,5.8367773455238,5.56951132867431
"ENSG00000126803",3306,"HSPA2",5.60801326876901,6.01973606270133,4.33057497578978,5.61329202445984,5.5046369370078,5.95296984262176,5.74665444432969,5.87794516338133,5.77208217215069,5.76818930113637
"ENSG00000254270",NA,"ERHP1",5.88786869602307,5.94857100088786,5.92729698891236,6.09325372553309,5.66269278052598,5.74297521239075,5.85092612775913,5.79325262547329,6.29880899231176,5.79799548830163
