ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score
LTN1,-0.25992663065827415,-14.382808034973607,-6.273093603333365,1.5674991207101198e-4,0.001027571649348171,0.7038423715215778,0.7767096090868704
AKAP7,-0.8927921976057487,-14.72354789036925,-6.271050467059319,1.5712653739669447e-4,0.001028800378501832,0.7012594197801878,2.66736746923631
UNC5C,-0.5372364068008402,-16.59304868192778,-6.2708533646367535,1.5716292282524027e-4,0.001028800378501832,0.7010102119294217,1.605084496294817
IPO9,0.26728825196176054,-10.947122783306266,6.270448934152295,1.5723761013973907e-4,0.001028800378501832,0.7004988513070423,0.7985687936160427
EPB41L2,0.2801544253331514,-12.130349869435783,6.26910332114661,1.5748638718543064e-4,0.0010297726296940467,0.6987973070109348,0.8368937319417833
TMEM9,-0.27137580586450305,-15.718582410074278,-6.2685204176478715,1.5759428771816317e-4,0.0010298230664049582,0.6980601440981289,0.8106639526335222
PSEN2,-0.301300562233628,-18.359766612793926,-6.2675344426535124,1.577769839615397e-4,0.0010303618920842863,0.6968131388157719,0.899987856291477
PRPF6,0.26874150830783883,-11.625276431543625,6.264004421792486,1.5843297632780595e-4,0.001033988929316519,0.6923475156239363,0.8023235030485425
TPP2,0.3197137611453478,-11.42742199519972,6.262027488267103,1.5880165417486467e-4,0.0010357374386189301,0.6898458932766616,0.9542657525185912
CDK11B,0.36455917150615313,-13.16183952565234,6.26071572393721,1.590468013307033e-4,0.0010366785484326566,0.6881856945515548,1.0879743100272157
MMUT,-0.22913689833136353,-12.732276002188497,-6.259329378665407,1.59306335284153e-4,0.0010377121802191435,0.6864308572811169,0.6837268807107528
CDIP1,-0.427162041352954,-16.91242260346597,-6.258179589194976,1.5952193479844322e-4,0.001038458497652437,0.6849752598401668,1.2744853036420365
GNB2,-0.2801994355905446,-11.665018900729313,-6.257073023937699,1.597297298912798e-4,0.0010387137227395543,0.6835742178401585,0.8359761735194826
PRKRIP1,0.27865090493821576,-14.60223185465864,6.256894693828101,1.5976324502881947e-4,0.0010387137227395543,0.6833484157601593,0.8313561259216595
RAB11FIP1,0.8000373655505477,-18.549416949564257,6.255227664932181,1.6007691569292152e-4,0.0010400952063258787,0.6812374157382859,2.386452982890484
PLCH1,0.3754148229866239,-15.767377119608152,6.251184979948724,1.6084038729487243e-4,0.0010443956670903307,0.6761165369611479,1.119162245278797
PI15,-0.5190577107569538,-17.42431197106404,-6.247767833903035,1.614888227397856e-4,0.0010479441975645557,0.6717863434602585,1.5466164548871586
DROSHA,0.2812936790492522,-17.290559320181547,6.246551312088529,1.6172035706909566e-4,0.0010487845743301163,0.670244398957907,0.8380621142281557
