,Node1,Sign,Node2,Weight
335,ADORA1,1,GNAZ,0
336,ADORA1,1,GNB2,0
337,ADORA2A,1,GNA14,0
338,ADORA2A,1,GNAI1,0
339,ADORA2A,1,GNAI3,0
340,ADORA2A,1,GNAL,0
341,ADORA2A,1,GNAO1,0
342,ADORA2A,1,GNAQ,0
343,ADORA2A,1,GNAS,0
344,ADORA2A,1,GNAZ,0
345,ADORA2A,1,GNB2,0
346,ADORA2B,1,GNA14,0
347,ADORA2B,1,GNAI1,0
348,ADORA2B,1,GNAI3,0
349,ADORA2B,1,GNAL,0
350,ADORA2B,1,GNAO1,0
351,ADORA2B,1,GNAQ,0
352,ADORA2B,1,GNAS,0
353,ADORA2B,1,GNAZ,0
354,ADORA3,1,GNAI1,0
355,ADORA3,1,GNAI3,0
356,ADRA1A,1,GNA11,0
357,ADRA1A,1,GNA13,0
358,ADRA1A,1,GNA14,0
359,ADRA1A,1,GNAL,0
360,ADRA1A,1,GNAQ,0
361,ADRA1A,1,GNAS,0
362,ADRA1A,1,GNB2,0
363,ADRA1B,1,GNA11,0
364,ADRA1B,1,GNA14,0
365,ADRA1B,1,GNAL,0
366,ADRA1B,1,GNAQ,0
367,ADRA1B,1,GNAS,0
368,ADRA1D,1,GNA14,0
369,ADRA1D,1,GNAL,0
370,ADRA1D,1,GNAQ,0
371,ADRA1D,1,GNAS,0
372,ADRA2A,1,GNAI1,0
373,ADRA2A,1,GNAI3,0
374,ADRA2A,1,GNAO1,0
375,ADRA2A,1,GNAZ,0
376,ADRA2A,1,GNB2,0
377,ADRA2B,1,GNA12,0
378,ADRA2B,1,GNAI1,0
379,ADRA2B,1,GNAI3,0
380,ADRA2B,1,GNAO1,0
381,ADRA2B,1,GNAZ,0
382,ADRA2C,1,GNAI1,0
383,ADRA2C,1,GNAI3,0
384,ADRA2C,1,GNAO1,0
385,ADRA2C,1,GNAZ,0
386,ADRB1,1,GNA14,0
387,ADRB1,1,GNAL,0
388,ADRB1,1,GNAS,0
389,ADRB2,1,GNA14,0
390,ADRB2,1,GNAL,0
391,ADRB2,1,GNAQ,0
392,ADRB2,1,GNAS,0
393,ADRB2,1,GNB2,0
394,ADRB3,1,GNAL,0
395,ADRM1,1,UCHL5,0
396,ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1,-1,CTNNB1,0
397,ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1,-1,P03186_RPS27A,0
398,ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1,-1,P03186_UBA52,0
399,ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1,-1,P03186_UBB,0
400,ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1,-1,P03186_UBC,0
401,ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1,-1,P03200_RPS27A,0
