"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"25","3","Reactome Pathways","","TRAF6 mediated NF-kB activation","0.0111","NFKB1|NFKB2|RELA","45910","46254|46098|46200","8.0E-4","","HSA-933542","0.19546770212133427","0"
"23","3","GO Biological Process","","Positive regulation of mesenchymal cell proliferation","0.0113","SOX9|MYC|CTNNB1","45910","46239|46191|46233","6.4E-4","","GO:0002053","0.19469215565165804","0"
"771","14","GO Biological Process","","Negative regulation of catalytic activity","0.0113","NFKB1|CYP27B1|PPM1F|TP53|PLK1|GSK3B|PRKCD|PTPRB|DUSP19|URI1|NR2F2|LATS1|HNF1A|AKT1","45910","46254|46101|46365|46335|46035|46338|46008|46173|46293|46092|46077|45999|46083|46374","6.5E-4","","GO:0043086","0.19469215565165804","0"
"56","4","GO Biological Process","","Regulation of cardiac muscle tissue growth","0.0113","GATA6|RUNX1|JARID2|PPARA","45910","46278|46194|46275|46119","6.5E-4","","GO:0055021","0.19469215565165804","0"
"100","5","GO Biological Process","","Canonical Wnt signaling pathway","0.0113","SOX9|GSK3B|GATA3|RARG|CTNNB1","45910","46239|46338|46125|46107|46233","6.4E-4","","GO:0060070","0.19469215565165804","0"
"23","3","GO Biological Process","","Prostate gland epithelium morphogenesis","0.0113","SOX9|TP63|RARG","45910","46239|46128|46107","6.4E-4","","GO:0060740","0.19469215565165804","0"
"23","3","GO Biological Process","","Negative regulation of stem cell proliferation","0.0113","TP53|RARB|RARG","45910","46335|46287|46107","6.4E-4","","GO:2000647","0.19469215565165804","0"
"154","6","GO Biological Process","","Hindbrain development","0.0115","EGR2|TP53|SMAD1|EZH2|GATA2|CTNNB1","45910","46251|46335|46317|46026|46044|46233","6.6E-4","","GO:0030902","0.19393021596463883","0"
"431","10","GO Biological Process","","Regulation of cell cycle phase transition","0.0116","DPF2|TP63|TP53|PLK1|EZH2|KLHL22|CDK10|E2F1|TFDP1|AKT1","45910","46050|46128|46335|46035|46026|46086|46281|46020|46341|46374","6.6E-4","","GO:1901987","0.19355420107730817","0"
"275","9","DISEASES","","Kidney disease","0.0116","CYP27B1|SMAD2|EPAS1|TP53|REST|SMAD3|WT1|HIF1A|CTNNB1","45910","46101|46113|46386|46335|46122|46215|46242|46071|46233","1.1E-4","","DOID:557","0.19355420107730817","0"
"101","5","GO Biological Process","","Regulation of gliogenesis","0.0117","EGR2|TP53|EZH2|E2F1|CTNNB1","45910","46251|46335|46026|46020|46233","6.7E-4","","GO:0014013","0.19318141382538384","0"
"162","6","Reactome Pathways","","S Phase","0.0117","GSK3B|E2F1|TFDP1|E2F4|AKT1|MYC","45910","46338|46020|46341|46362|46374|46191","8.5E-4","","HSA-69242","0.19318141382538384","0"
"513","11","GO Biological Process","","Positive regulation of catabolic process","0.0118","SOX9|MAPK3|PLK1|GSK3B|PRKCD|ZC3H12A|NFE2L2|PPARA|HSF1|HIF1A|AKT1","45910","46239|46029|46035|46338|46008|46350|46221|46119|46203|46071|46374","6.8E-4","","GO:0009896","0.19281179926938746","0"
"284","8","GO Biological Process","","Negative regulation of cytokine production","0.012","NFKB1|RARA|GATA6|REL|EZH2|ZC3H12A|GATA3|PPARA","45910","46254|46323|46278|46005|46026|46350|46125|46119","6.9E-4","","GO:0001818","0.19208187539523752","0"
"57","4","GO Biological Process","","JNK cascade","0.012","NFKB1|SMAD3|DUSP9|MAPK8","45910","46254|46215|46359|46284","6.9E-4","","GO:0007254","0.19208187539523752","0"
"284","8","GO Biological Process","","Wnt signaling pathway","0.012","SOX9|CSNK2A2|GSK3B|GATA3|RARG|MITF|TNIK|CTNNB1","45910","46239|46080|46338|46125|46107|46146|46209|46233","6.9E-4","","GO:0016055","0.19208187539523752","0"
"57","4","GO Biological Process","","Bone mineralization","0.012","CYP27B1|SOX9|ATF4|HIF1A","45910","46101|46239|46197|46071","6.9E-4","","GO:0030282","0.19208187539523752","0"
"5","2","Reactome Pathways","","G2 Phase","0.012","E2F3|E2F1","45910","46074|46020","8.8E-4","","HSA-68911","0.19208187539523752","0"
"5","2","Reactome Pathways","","PTK6 Expression","0.012","EPAS1|HIF1A","45910","46386|46071","8.8E-4","","HSA-8849473","0.19208187539523752","0"
"5","2","Reactome Pathways","","RUNX1 regulates expression of components of tight junctions","0.012","RUNX1|CBFB","45910","46194|46269","8.8E-4","","HSA-8935964","0.19208187539523752","0"
"5","2","Reactome Pathways","","RUNX1 regulates transcription of genes involved in interleukin signaling","0.012","RUNX1|CBFB","45910","46194|46269","8.8E-4","","HSA-8939247","0.19208187539523752","0"
"5","2","Reactome Pathways","","RUNX2 regulates chondrocyte maturation","0.012","RUNX2|CBFB","45910","46260|46269","8.8E-4","","HSA-8941284","0.19208187539523752","0"
"26","3","Reactome Pathways","","Purinergic signaling in leishmaniasis infection","0.012","NFKB1|NFKB2|RELA","45910","46254|46098|46200","8.9E-4","","HSA-9660826","0.19208187539523752","0"
"14","3","GO Molecular Function","","Nuclear retinoid X receptor binding","0.0122","NR0B2|RARG|HMGA1","45910","46356|46107|46152","1.8E-4","","GO:0046965","0.1913640169325252","0"
"298","8","Reactome Pathways","","Signaling by WNT","0.0123","SOX9|CSNK2A2|GSK3B|SRY|NFATC1|AKT1|MYC|CTNNB1","45910","46239|46080|46338|46023|46311|46374|46191|46233","9.4E-4","","HSA-195721","0.19100948885606023","0"
"24","3","GO Biological Process","","Negative regulation of steroid biosynthetic process","0.0124","NFKB1|CYP27B1|REST","45910","46254|46101|46122","7.2E-4","","GO:0010894","0.1906578314837765","0"
"24","3","GO Biological Process","","Negative regulation of cytokine production involved in inflammatory response","0.0124","EZH2|ZC3H12A|PPARA","45910","46026|46350|46119","7.2E-4","","GO:1900016","0.1906578314837765","0"
"24","3","GO Biological Process","","Positive regulation of stem cell differentiation","0.0124","SOX9|GATA6|SP7","45910","46239|46278|46059","7.2E-4","","GO:2000738","0.1906578314837765","0"
