"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"24","5","Reactome Pathways","","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","4.46E-5","MAPK3|SRF|FOS|UHMK1|AKT1","45910","46029|46368|46002|46383|46374","1.17E-6","","HSA-9634638","0.43506651412878583","0"
"304","12","GO Biological Process","","Positive regulation of DNA metabolic process","4.51E-5","DPF2|ATF1|MAPK3|PRKCD|FOXM1|ATRX|WT1|HSF1|AKT1|CEBPG|MYC|CTNNB1","45910","46050|46164|46029|46008|46158|46299|46242|46203|46374|46143|46191|46233","1.17E-6","","GO:0051054","0.4345823458122039","0"
"24","5","GO Biological Process","","Cellular response to angiotensin","4.51E-5","NFKB1|PRKCD|NFE2L2|RELA|HSF1","45910","46254|46008|46221|46200|46203","1.17E-6","","GO:1904385","0.4345823458122039","0"
"492","15","GO Biological Process","","Response to extracellular stimulus","4.61E-5","USF2|CYP27B1|RARA|MAPK3|SRF|TP53|FOS|ATF4|RUNX2|ZC3H12A|MAPK8|NFE2L2|PPARA|HSF1|AKT1","45910","46371|46101|46323|46029|46368|46335|46002|46197|46260|46350|46284|46221|46119|46203|46374","1.21E-6","","GO:0009991","0.4336299074610352","0"
"1763","30","GO Biological Process","","Regulation of transport","4.88E-5","NFKB1|SPI1|NR0B2|CSNK2A2|MAPK3|PPM1F|CASP6|CEBPB|PRKACA|REST|GSK3B|PRKCD|SMAD3|ATF4|GATA2|WWP2|KDM5B|ZC3H12A|GLRX|MAPK8|NFE2L2|PPARA|UHMK1|HIF1A|HNF1A|AKT1|MEF2A|NR1H3|NR4A3|CTNNB1","45910","46254|46314|46356|46080|46029|46365|46167|46053|46014|46122|46338|46008|46215|46197|46044|46212|46344|46350|46068|46284|46221|46119|46383|46071|46083|46374|46170|46140|46377|46233","1.29E-6","","GO:0051049","0.4311580177997289","0"
"789","19","GO Biological Process","","Regulation of cellular catabolic process","5.09E-5","CSNK2A2|MAPK3|STAT3|TP53|PLK1|PRKACA|GSK3B|PRKCD|KLHL22|E2F1|YBX1|ZC3H12A|MAPK8|NFE2L2|PPARA|HSF1|LATS1|HIF1A|AKT1","45910","46080|46029|46305|46335|46035|46014|46338|46008|46086|46020|46248|46350|46284|46221|46119|46203|45999|46071|46374","1.35E-6","","GO:0031329","0.4293282217663242","0"
"638","17","GO Biological Process","","Regulation of defense response","5.13E-5","NFKB1|SPI1|IRF1|MAPK3|CASP6|GATA6|CEBPB|STAT2|PRKCD|SMAD3|ZC3H12A|GATA3|ETS1|NFE2L2|RELA|PPARA|NR1H3","45910","46254|46314|46329|46029|46167|46278|46053|46038|46008|46215|46350|46125|46290|46221|46200|46119|46140","1.36E-6","","GO:0031347","0.42898826348881836","0"
"368","13","GO Biological Process","","Negative regulation of phosphorylation","5.13E-5","PPM1F|STAT3|PLK1|PRKCD|PTPRB|DUSP19|JUN|ZC3H12A|NR2F2|PPARA|LATS1|HNF1A|AKT1","45910","46365|46305|46035|46008|46173|46293|46302|46350|46077|46119|45999|46083|46374","1.37E-6","","GO:0042326","0.42898826348881836","0"
"368","13","GO Biological Process","","Regulation of leukocyte cell-cell adhesion","5.13E-5","IRF1|RARA|RUNX1|CEBPB|MYB|ZC3H12A|GATA3|ETS1|RELA|PPARA|CBFB|AKT1|NR4A3","45910","46329|46323|46194|46053|46332|46350|46125|46290|46200|46119|46269|46374|46377","1.37E-6","","GO:1903037","0.42898826348881836","0"
"25","5","GO Biological Process","","Regulation of hormone biosynthetic process","5.23E-5","NFKB1|CYP27B1|EGR1|REST|HIF1A","45910","46254|46101|46296|46122|46071","1.4E-6","","GO:0046885","0.4281498311132726","0"
"115","8","GO Biological Process","","Regulation of alpha-beta T cell activation","5.59E-5","IRF1|RARA|RUNX1|JUNB|MYB|ZC3H12A|GATA3|CBFB","45910","46329|46323|46194|46272|46332|46350|46125|46269","1.51E-6","","GO:0046634","0.42525881921135766","0"
"1979","32","Reactome Pathways","","Immune System","5.64E-5","NFKB1|NANOG|EGR1|IRF1|ATF1|MAPK3|STAT3|TP53|REL|JUNB|FOS|PRKACA|STAT2|PRKCD|KLHL22|SMAD3|PTPRB|POU2F1|THEM4|NFKB2|JUN|GATA3|MAPK8|NFATC2|RELA|NFATC1|DCAF1|HIF1A|AKT1|MEF2A|MYC|CTNNB1","45910","46254|46245|46296|46329|46164|46029|46305|46335|46005|46272|46002|46014|46038|46008|46086|46215|46173|46089|46137|46098|46302|46125|46284|46347|46200|46311|46353|46071|46374|46170|46191|46233","1.56E-6","","HSA-168256","0.4248720896016658","0"
"206","10","Reactome Pathways","","Transcriptional regulation by RUNX1","5.82E-5","SPI1|CSNK2A2|RUNX1|MYB|GATA2|RUNX2|GATA3|NFATC2|CBFB|NR4A3","45910","46314|46080|46194|46332|46044|46260|46125|46347|46269|46377","1.63E-6","","HSA-8878171","0.42350770153501116","0"
"503","15","GO Biological Process","","Regulation of protein transport","5.85E-5","NR0B2|CSNK2A2|PPM1F|PRKACA|REST|GSK3B|PRKCD|SMAD3|WWP2|ZC3H12A|MAPK8|UHMK1|HIF1A|HNF1A|NR1H3","45910","46356|46080|46365|46014|46122|46338|46008|46215|46212|46350|46284|46383|46071|46083|46140","1.58E-6","","GO:0051223","0.423284413391782","0"
"26","5","GO Biological Process","","Response to muscle stretch","6.13E-5","NFKB1|FOS|JUN|RELA|CTNNB1","45910","46254|46002|46302|46200|46233","1.66E-6","","GO:0035994","0.4212539525481585","0"
"963","21","GO Biological Process","","Regulation of cellular localization","6.15E-5","SPI1|NR0B2|CSNK2A2|MAPK3|PPM1F|PLK1|PRKACA|REST|GSK3B|PRKCD|SMAD3|WWP2|ZC3H12A|MAPK8|UHMK1|LATS1|HIF1A|HNF1A|AKT1|NR1H3|CTNNB1","45910","46314|46356|46080|46029|46365|46035|46014|46122|46338|46008|46215|46212|46350|46284|46383|45999|46071|46083|46374|46140|46233","1.67E-6","","GO:0060341","0.4211124884224583","0"
"81","7","Reactome Pathways","","Senescence-Associated Secretory Phenotype (SASP)","6.35E-5","NFKB1|MAPK3|STAT3|CEBPB|FOS|JUN|RELA","45910","46254|46029|46305|46053|46002|46302|46200","1.81E-6","","HSA-2559582","0.4197226274708024","0"
"966","21","GO Biological Process","","Phosphorylation","6.44E-5","SOX9|RARA|SMAD2|CSNK2A2|MAPK3|STAT3|PLK1|SMAD1|PRKACA|CLK4|GSK3B|PRKCD|CDK10|STK40|MAPK8|DCAF1|TNIK|HIPK1|UHMK1|LATS1|AKT1","45910","46239|46323|46113|46080|46029|46305|46035|46317|46014|46095|46338|46008|46281|46011|46284|46353|46209|46149|46383|45999|46374","1.75E-6","","GO:0016310","0.41911141326401874","0"
"1693","29","GO Biological Process","","Positive regulation of cell communication","6.51E-5","NFKB1|SPI1|CYP27B1|SOX9|NR0B2|SMAD2|MAPK3|STAT3|TP63|GATA6|TP53|REL|EZH2|PRKCD|KLHL22|SMAD3|CDK10|DUSP19|JUN|ZC3H12A|GATA3|RELA|TNIK|HIF1A|HNF1A|NR1H3|MYC|CTNNB1|DLX5","45910","46254|46314|46101|46239|46356|46113|46029|46305|46128|46278|46335|46005|46026|46008|46086|46215|46281|46293|46302|46350|46125|46200|46209|46071|46083|46140|46191|46233|46179","1.78E-6","","GO:0010647","0.41864190114318084","0"
"118","8","GO Biological Process","","Maintenance of cell number","6.6E-5","SPI1|NANOG|SOX9|STAT3|REST|EZH2|GATA2|CTNNB1","45910","46314|46245|46239|46305|46122|46026|46044|46233","1.81E-6","","GO:0098727","0.4180456064458132","0"
"1698","29","GO Biological Process","","Positive regulation of signaling","6.87E-5","NFKB1|SPI1|CYP27B1|SOX9|NR0B2|SMAD2|MAPK3|STAT3|TP63|GATA6|TP53|REL|EZH2|PRKCD|KLHL22|SMAD3|CDK10|DUSP19|JUN|ZC3H12A|GATA3|RELA|TNIK|HIF1A|HNF1A|NR1H3|MYC|CTNNB1|DLX5","45910","46254|46314|46101|46239|46356|46113|46029|46305|46128|46278|46335|46005|46026|46008|46086|46215|46281|46293|46302|46350|46125|46200|46209|46071|46083|46140|46191|46233|46179","1.88E-6","","GO:0023056","0.416304326294045","0"
"320","12","GO Biological Process","","Epidermis development","7.14E-5","SOX9|TP63|GATA6|REST|EZH2|YBX1|TFDP1|RELA|PPARA|LATS1|PITX2|CTNNB1","45910","46239|46128|46278|46122|46026|46248|46341|46200|46119|45999|46308|46233","1.96E-6","","GO:0008544","0.4146301788223826","0"
"1902","31","GO Biological Process","","Phosphorus metabolic process","7.31E-5","SOX9|RARA|PTPRE|SMAD2|CSNK2A2|MAPK3|PPM1F|STAT3|GATA6|PLK1|SMAD1|PRKACA|CLK4|GSK3B|PRKCD|PTPRB|CDK10|DUSP9|DUSP19|DUSP23|STK40|MAPK8|DCAF1|TNIK|HIPK1|PTPRG|UHMK1|LATS1|SP7|AKT1|NR1H3","45910","46239|46323|46176|46113|46080|46029|46365|46305|46278|46035|46317|46014|46095|46338|46008|46173|46281|46359|46293|46161|46011|46284|46353|46209|46149|46017|46383|45999|46059|46374|46140","2.01E-6","","GO:0006793","0.413608262304214","0"
"120","8","GO Biological Process","","Regulation of ossification","7.36E-5","CYP27B1|EGR2|SOX9|MAPK3|SMAD3|RUNX2|HIF1A|TFAP2A","45910","46101|46251|46239|46029|46215|46260|46071|46056","2.03E-6","","GO:0030278","0.41331221856625017","0"
"120","8","GO Biological Process","","Embryonic limb morphogenesis","7.36E-5","TP63|RARB|RUNX2|RARG|HNF1A|CTNNB1|DLX5|TFAP2A","45910","46128|46287|46260|46107|46083|46233|46179|46056","2.03E-6","","GO:0030326","0.41331221856625017","0"
"1328","25","GO Biological Process","","Response to other organism","7.49E-5","CEBPE|NFKB1|SPI1|CYP27B1|IRF1|RARA|MAPK3|TP53|REL|CEBPB|FOS|STAT2|PRKCD|SMAD3|ZC3H12A|GATA3|URI1|POU2AF1|MAPK8|RELA|HSF1|HIF1A|AKT1|CEBPG|NR1H3","45910","46380|46254|46314|46101|46329|46323|46029|46335|46005|46053|46002|46038|46008|46215|46350|46125|46092|46236|46284|46200|46203|46071|46374|46143|46140","2.08E-6","","GO:0051707","0.4125518182300533","0"
"1062","22","GO Biological Process","","Neuron differentiation","7.5E-5","EGR2|SOX9|STAT3|SRF|TLX3|RUNX1|CEBPB|REST|GSK3B|ATF4|GATA2|JUN|RUNX2|GATA3|TNIK|HIPK1|UHMK1|HIF1A|MEF2A|PITX2|CTNNB1|DLX5","45910","46251|46239|46305|46368|46047|46194|46053|46122|46338|46197|46044|46302|46260|46125|46209|46149|46383|46071|46170|46308|46233|46179","2.09E-6","","GO:0030182","0.41249387366083","0"
"266","11","Reactome Pathways","","PIP3 activates AKT signaling","7.5E-5","EGR1|CSNK2A2|MAPK3|TP53|REST|EZH2|GSK3B|WWP2|THEM4|JUN|AKT1","45910","46296|46080|46029|46335|46122|46026|46338|46212|46137|46302|46374","2.17E-6","","HSA-1257604","0.41249387366083","0"
"3910","49","GO Biological Process","","Protein metabolic process","7.57E-5","SPI1|EGR2|SOX9|RARA|PTPRE|SMAD2|CSNK2A2|MAPK3|PPM1F|CASP6|KAT6A|PLK1|SMAD1|PRKACA|REST|CLK4|EZH2|GSK3B|PRKCD|KLHL22|PTPRB|CDK10|NFYA|DUSP9|DUSP19|WWP2|KDM5B|DUSP23|NCOA3|ZC3H12A|STK40|GLRX|MAPK8|NFE2L2|RELA|PPARA|DCAF1|TNIK|HIPK1|CBFB|PTPRG|UHMK1|LATS1|HIF1A|HNF1A|AKT1|RIOX1|CTNNB1|ENC1","45910","46314|46251|46239|46323|46176|46113|46080|46029|46365|46167|46185|46035|46317|46014|46122|46095|46026|46338|46008|46086|46173|46281|46134|46359|46293|46212|46344|46161|46263|46350|46011|46068|46284|46221|46200|46119|46353|46209|46149|46269|46017|46383|45999|46071|46083|46374|46326|46233|46131","2.12E-6","","GO:0019538","0.4120904120499927","0"
"164","9","GO Biological Process","","Negative regulation of binding","7.57E-5","MAPK3|REST|GSK3B|PRKCD|E2F1|JUN|MAPK8|PPARA|AKT1","45910","46029|46122|46338|46008|46020|46302|46284|46119|46374","2.12E-6","","GO:0051100","0.4120904120499927","0"
"28","5","Reactome Pathways","","SUMOylation of intracellular receptors","7.76E-5","RARA|PGR|NR5A1|PPARA|NR1H3","45910","46323|46227|46320|46119|46140","2.3E-6","","HSA-4090294","0.41101382787418117","0"
"11","4","Reactome Pathways","","Transcriptional regulation of testis differentiation","7.76E-5","SOX9|NR5A1|WT1|SRY","45910","46239|46320|46242|46023","2.28E-6","","HSA-9690406","0.41101382787418117","0"
"214","10","GO Biological Process","","Response to mechanical stimulus","8.05E-5","NFKB1|IRF1|SOX9|MAPK3|FOS|REST|JUN|MAPK8|RELA|CTNNB1","45910","46254|46329|46239|46029|46002|46122|46302|46284|46200|46233","2.26E-6","","GO:0009612","0.4094204119632131","0"
"11","4","GO Biological Process","","Regulation of transcription from RNA polymerase II promoter in response to oxidative stress","8.05E-5","EPAS1|ATF4|NFE2L2|HIF1A","45910","46386|46197|46221|46071","2.28E-6","","GO:0043619","0.4094204119632131","0"
"325","12","GO Biological Process","","Cellular response to abiotic stimulus","8.05E-5","NFKB1|EGR1|IRF1|SOX9|MAPK3|TP53|REST|PRKCD|ATF4|MAPK8|HSF1|MYC","45910","46254|46296|46329|46239|46029|46335|46122|46008|46197|46284|46203|46191","2.29E-6","","GO:0071214","0.4094204119632131","0"
"28","5","GO Biological Process","","Negative regulation of stem cell differentiation","8.05E-5","STAT3|REST|EZH2|GSK3B|NFE2L2","45910","46305|46122|46026|46338|46221","2.3E-6","","GO:2000737","0.4094204119632131","0"
"166","9","GO Biological Process","","Cell maturation","8.14E-5","EPAS1|PRKACA|PGR|GATA2|RUNX2|GATA3|CBFB|HIF1A|CTNNB1","45910","46386|46014|46227|46044|46260|46125|46269|46071|46233","2.33E-6","","GO:0048469","0.40893755951107985","0"
"166","9","GO Biological Process","","Intrinsic apoptotic signaling pathway","8.14E-5","PPM1F|TP63|CASP6|TP53|CEBPB|PRKCD|ATF4|E2F1|HIPK1","45910","46365|46128|46167|46335|46053|46008|46197|46020|46149","2.33E-6","","GO:0097193","0.40893755951107985","0"
"53","6","GO Biological Process","","Regulation of chondrocyte differentiation","8.33E-5","SOX9|RARB|SMAD3|RUNX2|RARG|CTNNB1","45910","46239|46287|46215|46260|46107|46233","2.4E-6","","GO:0032330","0.4079354998593212","0"
"269","11","GO Biological Process","","Muscle cell differentiation","8.33E-5","SOX9|RARA|SRF|GATA6|RARB|KLF5|WT1|NFATC2|AKT1|MEF2A|CTNNB1","45910","46239|46323|46368|46278|46287|46257|46242|46347|46374|46170|46233","2.41E-6","","GO:0042692","0.4079354998593212","0"
"53","6","GO Biological Process","","Positive regulation of blood vessel endothelial cell migration","8.33E-5","SP1|GATA2|ETS1|NFE2L2|HIF1A|AKT1","45910","46182|46044|46290|46221|46071|46374","2.4E-6","","GO:0043536","0.4079354998593212","0"
"216","10","GO Biological Process","","Anterior/posterior pattern specification","8.47E-5","SMAD2|SRF|TP53|SMAD3|ETS2|WT1|NR2F2|RARG|HIPK1|CTNNB1","45910","46113|46368|46335|46215|46032|46242|46077|46107|46149|46233","2.45E-6","","GO:0009952","0.40721165896692935","0"
"168","9","GO Biological Process","","Male sex differentiation","8.82E-5","SOX9|RARA|GATA6|ATRX|NR5A1|SF1|WT1|GATA3|CTNNB1","45910","46239|46323|46278|46299|46320|46110|46242|46125|46233","2.56E-6","","GO:0046661","0.40545314148681805","0"
"86","7","GO Biological Process","","G1/S transition of mitotic cell cycle","9.03E-5","E2F3|EZH2|E2F1|TFDP1|E2F4|LATS1|MYC","45910","46074|46026|46020|46341|46362|45999|46191","2.63E-6","","GO:0000082","0.4044312249686494","0"
"169","9","GO Biological Process","","Regulation of endothelial cell migration","9.19E-5","SP1|GATA2|ZC3H12A|GATA3|ETS1|NR2F2|NFE2L2|HIF1A|AKT1","45910","46182|46044|46350|46125|46290|46077|46221|46071|46374","2.68E-6","","GO:0010594","0.4036684488613889","0"
"29","5","GO Biological Process","","Cell fate commitment involved in formation of primary germ layer","9.19E-5","NANOG|GATA6|SMAD1|ETS2|CTNNB1","45910","46245|46278|46317|46032|46233","2.68E-6","","GO:0060795","0.4036684488613889","0"
"461","14","GO Biological Process","","Response to nutrient levels","9.98E-5","USF2|CYP27B1|RARA|MAPK3|SRF|TP53|ATF4|RUNX2|ZC3H12A|MAPK8|NFE2L2|PPARA|HSF1|AKT1","45910","46371|46101|46323|46029|46368|46335|46197|46260|46350|46284|46221|46119|46203|46374","2.93E-6","","GO:0031667","0.40008694587126287","0"
"127","8","GO Biological Process","","Mesoderm development","1.0E-4","SMAD2|TP63|SRF|SMAD1|PRKACA|SMAD3|ETS2|HNF1A","45910","46113|46128|46368|46317|46014|46215|46032|46083","3.03E-6","","GO:0007498","0.4","0"
"88","7","GO Biological Process","","Multicellular organism growth","1.0E-4","RARA|TP53|RARB|STK40|ATRX|SP2|RARG","45910","46323|46335|46287|46011|46299|46224|46107","3.03E-6","","GO:0035264","0.4","0"
"30","5","GO Biological Process","","Negative regulation of cartilage development","1.0E-4","SOX9|RARA|RARB|RARG|CTNNB1","45910","46239|46323|46287|46107|46233","3.11E-6","","GO:0061037","0.4","0"
"12","4","GO Biological Process","","Regulation of transcription from RNA polymerase II promoter in response to hypoxia","1.0E-4","EGR1|TP53|NFE2L2|HIF1A","45910","46296|46335|46221|46071","3.02E-6","","GO:0061418","0.4","0"
"56","6","GO Biological Process","","Somatic stem cell population maintenance","1.1E-4","SPI1|NANOG|SOX9|STAT3|REST|GATA2","45910","46314|46245|46239|46305|46122|46044","3.22E-6","","GO:0035019","0.3958607314841775","0"
"173","9","GO Biological Process","","Mitotic cell cycle phase transition","1.1E-4","E2F3|PLK1|EZH2|FOXM1|E2F1|TFDP1|E2F4|LATS1|MYC","45910","46074|46035|46026|46158|46020|46341|46362|45999|46191","3.22E-6","","GO:0044772","0.3958607314841775","0"
"927","20","GO Biological Process","","Regulation of cell migration","1.2E-4","SPI1|SOX9|MAPK3|PPM1F|STAT3|SRF|SP1|SMAD3|GATA2|JUN|ZC3H12A|GATA3|ETS1|NR2F2|NFE2L2|MITF|PTPRG|HIF1A|AKT1|NR4A3","45910","46314|46239|46029|46365|46305|46368|46182|46215|46044|46302|46350|46125|46290|46077|46221|46146|46017|46071|46374|46377","3.57E-6","","GO:0030334","0.39208187539523753","0"
"57","6","GO Biological Process","","Endochondral bone morphogenesis","1.2E-4","SOX9|RARA|RARB|RUNX2|RARG|DLX5","45910","46239|46323|46287|46260|46107|46179","3.54E-6","","GO:0060350","0.39208187539523753","0"
"77","7","GO Cellular Component","","Transcription repressor complex","1.2E-4","TP53|SP3|REST|SP1|JUN|MYC|CTNNB1","45910","46335|46218|46122|46182|46302|46191|46233","1.32E-6","","GO:0017053","0.39208187539523753","0"
"17","5","DISEASES","","Hepatocellular carcinoma","1.2E-4","STAT3|TP53|AKT1|MYC|CTNNB1","45910","46305|46335|46374|46191|46233","2.7E-7","","DOID:684","0.39208187539523753","0"
"131","8","Reactome Pathways","","Fc epsilon receptor (FCERI) signaling","1.2E-4","NFKB1|MAPK3|FOS|JUN|MAPK8|NFATC2|RELA|NFATC1","45910","46254|46029|46002|46302|46284|46347|46200|46311","3.77E-6","","HSA-2454202","0.39208187539523753","0"
"91","7","Reactome Pathways","","Activation of anterior HOX genes in hindbrain development during early embryogenesis","1.2E-4","EGR2|RARA|EZH2|RARB|JUN|NCOA3|RARG","45910","46251|46323|46026|46287|46302|46263|46107","3.73E-6","","HSA-5617472","0.39208187539523753","0"
"31","5","Reactome Pathways","","RUNX2 regulates bone development","1.2E-4","MAPK3|SMAD1|RUNX2|CBFB|SP7","45910","46029|46317|46260|46269|46059","3.59E-6","","HSA-8941326","0.39208187539523753","0"
"92","7","GO Biological Process","","BMP signaling pathway","1.3E-4","EGR1|SMAD2|MAPK3|SMAD1|SMAD3|RUNX2|DLX5","45910","46296|46113|46029|46317|46215|46260|46179","3.99E-6","","GO:0030509","0.3886056647693163","0"
"229","10","GO Biological Process","","Skeletal system morphogenesis","1.3E-4","SOX9|RARA|SMAD2|RARB|SMAD3|RUNX2|RARG|CTNNB1|DLX5|TFAP2A","45910","46239|46323|46113|46287|46215|46260|46107|46233|46179|46056","4.04E-6","","GO:0048705","0.3886056647693163","0"
"9","4","GO Molecular Function","","Primary miRNA binding","1.3E-4","STAT3|SRF|SMAD1|EZH2","45910","46305|46368|46317|46026","1.2E-6","","GO:0070878","0.3886056647693163","0"
"775","18","GO Biological Process","","Brain development","1.4E-4","EGR2|RARA|CSNK2A2|SRF|TP53|SMAD1|EZH2|GSK3B|RARB|E2F1|GATA2|ATRX|NR2F2|PTPRG|HIF1A|PITX2|CTNNB1|DLX5","45910","46251|46323|46080|46368|46335|46317|46026|46338|46287|46020|46044|46299|46077|46017|46071|46308|46233|46179","4.31E-6","","GO:0007420","0.38538719643217617","0"
"346","12","GO Biological Process","","Regulation of lipid metabolic process","1.4E-4","NFKB1|CYP27B1|EGR1|SOX9|REST|PRKCD|NR5A1|SF1|PPARA|AKT1|NR1H3|NR4A3","45910","46254|46101|46296|46239|46122|46008|46320|46110|46119|46374|46140|46377","4.26E-6","","GO:0019216","0.38538719643217617","0"
"93","7","GO Biological Process","","Erythrocyte differentiation","1.4E-4","SPI1|EPAS1|SRF|SP3|MYB|GATA3|CEBPG","45910","46314|46386|46368|46218|46332|46125|46143","4.27E-6","","GO:0030218","0.38538719643217617","0"
"93","7","GO Biological Process","","Signal transduction by p53 class mediator","1.4E-4","TP63|CASP6|TP53|FOXM1|E2F1|ATRX|HIPK1","45910","46128|46167|46335|46158|46020|46299|46149","4.27E-6","","GO:0072331","0.38538719643217617","0"
"368","13","GO Molecular Function","","Protein heterodimerization activity","1.4E-4","USF2|AHR|ATF1|EPAS1|JDP2|TP53|RUNX1|CEBPB|ATF4|HSF1|HIF1A|HNF1A|MEF2A","45910","46371|46206|46164|46386|46155|46335|46194|46053|46197|46203|46071|46083|46170","1.37E-6","","GO:0046982","0.38538719643217617","0"
"1877","30","GO Biological Process","","Phosphate-containing compound metabolic process","1.5E-4","SOX9|RARA|PTPRE|SMAD2|CSNK2A2|MAPK3|PPM1F|STAT3|GATA6|PLK1|SMAD1|PRKACA|CLK4|GSK3B|PRKCD|PTPRB|CDK10|DUSP9|DUSP19|DUSP23|STK40|MAPK8|DCAF1|TNIK|HIPK1|PTPRG|UHMK1|LATS1|AKT1|NR1H3","45910","46239|46323|46176|46113|46080|46029|46365|46305|46278|46035|46317|46014|46095|46338|46008|46173|46281|46359|46293|46161|46011|46284|46353|46209|46149|46017|46383|45999|46374|46140","4.54E-6","","GO:0006796","0.38239087409443184","0"
"60","6","GO Biological Process","","Negative regulation of muscle cell differentiation","1.5E-4","SMAD1|EZH2|YBX1|NFATC2|PPARA|NFATC1","45910","46317|46026|46248|46347|46119|46311","4.66E-6","","GO:0051148","0.38239087409443184","0"
"78","7","GO Molecular Function","","SMAD binding","1.5E-4","SMAD2|SMAD1|FOS|SMAD3|JUN|MEF2A|CTNNB1","45910","46113|46317|46002|46215|46302|46170|46233","1.43E-6","","GO:0046332","0.38239087409443184","0"
"60","6","Reactome Pathways","","Regulation of PTEN gene transcription","1.5E-4","EGR1|MAPK3|TP53|REST|EZH2|JUN","45910","46296|46029|46335|46122|46026|46302","4.66E-6","","HSA-8943724","0.38239087409443184","0"
"14","4","GO Biological Process","","Male sex determination","1.6E-4","SOX9|NR5A1|SF1|SRY","45910","46239|46320|46110|46023","5.03E-6","","GO:0030238","0.3795880017344075","0"
"61","6","GO Biological Process","","Mammary gland epithelium development","1.6E-4","CEBPB|PGR|KDM5B|LATS1|HIF1A|AKT1","45910","46053|46227|46344|45999|46071|46374","5.09E-6","","GO:0061180","0.3795880017344075","0"
"14","4","GO Biological Process","","Regulation of cell proliferation involved in kidney development","1.6E-4","EGR1|WT1|GATA3|MYC","45910","46296|46242|46125|46191","5.03E-6","","GO:1901722","0.3795880017344075","0"
"62","6","Reactome Pathways","","Pre-NOTCH Transcription and Translation","1.7E-4","E2F3|TP53|RUNX1|E2F1|JUN|TFDP1","45910","46074|46335|46194|46020|46302|46341","5.55E-6","","HSA-1912408","0.37695510786217257","0"
"1405","25","GO Biological Process","","Regulation of phosphate metabolic process","1.8E-4","EGR1|SOX9|MAPK3|PPM1F|STAT3|TP53|PLK1|STAT2|EZH2|GSK3B|PRKCD|SMAD3|PTPRB|DUSP19|JUN|ZC3H12A|URI1|NR2F2|PPARA|TNIK|HSF1|LATS1|HIF1A|HNF1A|AKT1","45910","46296|46239|46029|46365|46305|46335|46035|46038|46026|46338|46008|46215|46173|46293|46302|46350|46092|46077|46119|46209|46203|45999|46071|46083|46374","5.55E-6","","GO:0019220","0.3744727494896694","0"
"2103","32","GO Biological Process","","Regulation of localization","1.8E-4","NFKB1|SPI1|NR0B2|CSNK2A2|MAPK3|PPM1F|CASP6|PLK1|CEBPB|PRKACA|REST|GSK3B|PRKCD|SMAD3|ATF4|GATA2|WWP2|KDM5B|ZC3H12A|GLRX|MAPK8|NFE2L2|PPARA|UHMK1|LATS1|HIF1A|HNF1A|AKT1|MEF2A|NR1H3|NR4A3|CTNNB1","45910","46254|46314|46356|46080|46029|46365|46167|46035|46053|46014|46122|46338|46008|46215|46197|46044|46212|46344|46350|46068|46284|46221|46119|46383|45999|46071|46083|46374|46170|46140|46377|46233","5.57E-6","","GO:0032879","0.3744727494896694","0"
"97","7","GO Biological Process","","Negative regulation of myeloid cell differentiation","1.8E-4","RARA|RUNX1|MYB|GATA2|GABPA|MYC|CTNNB1","45910","46323|46194|46332|46044|46065|46191|46233","5.55E-6","","GO:0045638","0.3744727494896694","0"
"238","10","GO Biological Process","","Mesenchyme development","1.8E-4","SOX9|SMAD2|MAPK3|GSK3B|SMAD3|WT1|HIF1A|HNF1A|PITX2|CTNNB1","45910","46239|46113|46029|46338|46215|46242|46071|46083|46308|46233","5.6E-6","","GO:0060485","0.3744727494896694","0"
"63","6","GO Biological Process","","Regulation of heart growth","1.9E-4","GATA6|RUNX1|JARID2|DUSP9|WT1|PPARA","45910","46278|46194|46275|46359|46242|46119","6.04E-6","","GO:0060420","0.3721246399047171","0"
"35","5","GO Biological Process","","Embryonic eye morphogenesis","2.0E-4","SP3|RARB|RARG|HIPK1|TFAP2A","45910","46218|46287|46107|46149|46056","6.14E-6","","GO:0048048","0.36989700043360185","0"
"15","4","GO Biological Process","","Negative regulation of hematopoietic progenitor cell differentiation","2.0E-4","DPF2|MYB|GATA2|NFE2L2","45910","46050|46332|46044|46221","6.33E-6","","GO:1901533","0.36989700043360185","0"
