"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"UBB_UBE2E3","P",99,1,0,1
"UBB_UBE2I","P",99,1,0,1
"UBB_UBE2J1","P",98,0,2,-2
"UBB_UBE2M","P",99,1,0,1
"UBB_UBE2N","P",99,1,0,1
"UBB_UBE2Q1","P",98,0,2,-2
"UBB_UBE2R2","P",99,1,0,1
"UBB_UBE2S","P",98,2,0,2
"UBB_UBE2U","P",98,0,2,-2
"UBB_UBE2W","P",98,2,0,2
"UBC_UBE2B","P",98,0,2,-2
"UBC_UBE2D2","P",98,0,2,-2
"UBC_UBE2D3","P",98,0,2,-2
"UBC_UBE2E2","P",98,2,0,2
"UBC_UBE2G2","P",99,1,0,1
"UBC_UBE2J1","P",99,1,0,1
"UBC_UBE2K","P",99,1,0,1
"UBC_UBE2Q1","P",99,1,0,1
"UBC_UBE2V2","P",98,0,2,-2
"UBC_UBE2W","P",98,0,2,-2
"UHMK1","P",49,0,51,-51
"USF1","M",0,100,0,100
"USF2","M",0,100,0,100
"VDR","M",0,100,0,100
"WDR83","P",98,0,2,-2
"WNT1","",0,100,0,100
"WSB1","P",0,100,0,100
"WT1","M",0,100,0,100
"WWTR1","",0,0,100,-100
"XBP1","M",0,0,100,-100
"XRCC5","P",0,100,0,100
"YBX1","M",0,100,0,100
"ZBTB16","M",0,0,100,-100
"ZBTB17","M",0,100,0,100
"ZC3H12A","P",50,50,0,50
"ZEB1","M",0,0,100,-100
"ZFPM2","P",0,0,100,-100
"ZNF76","P",0,0,100,-100
