"Node1","Sign","Node2","Weight"
"UBA52_UBE2U",1,"SMURF1",7
"UBA52_UBE2U",1,"TRIM25",7
"UBA52_UBE2U",1,"WWP2",7
"UBA52_UBE2V2",1,"DTX1",2
"UBA52_UBE2V2",1,"HUWE1",2
"UBA52_UBE2V2",1,"RLIM",2
"UBA52_UBE2V2",1,"SMURF1",2
"UBA52_UBE2V2",1,"TRIM25",2
"UBA52_UBE2V2",1,"WWP2",2
"UBA52_UBE2W",1,"DTX1",4
"UBA52_UBE2W",1,"HUWE1",4
"UBA52_UBE2W",1,"RLIM",4
"UBA52_UBE2W",1,"SMURF1",4
"UBA52_UBE2W",1,"TRIM25",4
"UBA52_UBE2W",1,"WWP2",4
"UBA52_UBE2Z",1,"DTX1",2
"UBA52_UBE2Z",1,"HUWE1",2
"UBA52_UBE2Z",1,"RLIM",2
"UBA52_UBE2Z",1,"SMURF1",2
"UBA52_UBE2Z",1,"TRIM25",2
"UBA52_UBE2Z",1,"WWP2",2
"UBA6_UBB",1,"UBE2I",6
"UBA6_UBC",1,"UBE2I",9
"UBB_UBE2B",1,"DTX1",3
"UBB_UBE2B",1,"HUWE1",3
"UBB_UBE2B",1,"RLIM",3
"UBB_UBE2B",1,"SMURF1",3
"UBB_UBE2B",1,"TRIM25",3
"UBB_UBE2B",1,"WWP2",3
"UBB_UBE2C",1,"DTX1",4
"UBB_UBE2C",1,"HUWE1",4
"UBB_UBE2C",1,"RLIM",4
"UBB_UBE2C",1,"SMURF1",4
"UBB_UBE2C",1,"TRIM25",4
"UBB_UBE2C",1,"WWP2",4
"UBB_UBE2D1",1,"DTX1",1
"UBB_UBE2D1",1,"HUWE1",1
"UBB_UBE2D1",1,"RLIM",1
"UBB_UBE2D1",1,"SMURF1",1
"UBB_UBE2D1",1,"TRIM25",1
"UBB_UBE2D1",1,"WWP2",1
"UBB_UBE2D2",1,"DTX1",1
"UBB_UBE2D2",1,"HUWE1",1
"UBB_UBE2D2",1,"RLIM",1
"UBB_UBE2D2",1,"SMURF1",1
"UBB_UBE2D2",1,"TRIM25",1
"UBB_UBE2D2",1,"WWP2",1
"UBB_UBE2E1",1,"DTX1",1
"UBB_UBE2E1",1,"HUWE1",1
"UBB_UBE2E1",1,"RLIM",1
"UBB_UBE2E1",1,"SMURF1",1
"UBB_UBE2E1",1,"TRIM25",1
"UBB_UBE2E1",1,"WWP2",1
"UBB_UBE2E3",1,"DTX1",1
"UBB_UBE2E3",1,"HUWE1",1
"UBB_UBE2E3",1,"RLIM",1
"UBB_UBE2E3",1,"SMURF1",1
"UBB_UBE2E3",1,"TRIM25",1
"UBB_UBE2E3",1,"WWP2",1
"UBB_UBE2G1",1,"DTX1",1
"UBB_UBE2G1",1,"HUWE1",1
"UBB_UBE2G1",1,"RLIM",1
"UBB_UBE2G1",1,"SMURF1",1
"UBB_UBE2G1",1,"TRIM25",1
