"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"ASH2L_DPY30_KMT2C_RBBP5_SETD1A_SETD1B_WDR5","",100,0,0,0
"ASH2L_DPY30_KMT2D_RBBP5_SETD1A_SETD1B_WDR5","",100,0,0,0
"ASH2L_SETD1A_WDR5","",100,0,0,0
"ASIP","",100,0,0,0
"ASPH","",100,0,0,0
"ASPSCR1","",100,0,0,0
"ASTN2","",100,0,0,0
"ASXL1","",100,0,0,0
"ASXL2","",100,0,0,0
"ASXL3","",100,0,0,0
"ATAD2","",100,0,0,0
"ATAD5","",100,0,0,0
"ATAT1","",100,0,0,0
"ATE1","",100,0,0,0
"ATF1","M",0,100,0,100
"ATF2","M",0,100,0,100
"ATF2_JUN","",100,0,0,0
"ATF3","M",0,100,0,100
"ATF4","M",0,100,0,100
"ATG10","",100,0,0,0
"ATG101","",100,0,0,0
"ATG101_ATG13_RB1CC1_ULK1_ULK2","",100,0,0,0
"ATG12","",100,0,0,0
"ATG12_ATG5","",100,0,0,0
"ATG13","",100,0,0,0
"ATG13_RB1CC1_ULK1","",100,0,0,0
"ATG14","",100,0,0,0
"ATG16L1","",100,0,0,0
"ATG3","",100,0,0,0
"ATG4A","",100,0,0,0
"ATG4B","",100,0,0,0
"ATG4D","",100,0,0,0
"ATG5","",100,0,0,0
"ATG7","",100,0,0,0
"ATG9A","",100,0,0,0
"ATM","",100,0,0,0
"ATM_NBN","",100,0,0,0
"ATOH1","",100,0,0,0
"ATP6AP1","",100,0,0,0
"ATP6V1H","",100,0,0,0
"ATP7A","",100,0,0,0
"ATR","",100,0,0,0
"ATRIP","",100,0,0,0
"ATRX","",100,0,0,0
"ATR_ATRIP","",100,0,0,0
"ATXN2L","",100,0,0,0
"ATXN7","",100,0,0,0
"ATXN7_ATXN7L3_ENY2_KAT2A_KAT2B_SGF29_SUPT20H_SUPT3H_SUPT7L_TADA1_TADA2B_TADA3_TAF10_TAF12_TAF1A_TAF2_TAF5L_TAF6L_TAF8_TAF9_TRRAP_USP22","",100,0,0,0
"AURKA","",100,0,0,0
"AURKB","",100,0,0,0
"AURKC","",100,0,0,0
"AUTS2","",100,0,0,0
"AVP","",100,0,0,0
"AVPR1A","",100,0,0,0
"AVPR1B","",100,0,0,0
"AVPR2","",100,0,0,0
"AXIN1","",100,0,0,0
"AXIN2","",100,0,0,0
"AXL","",100,0,0,0
"AZI2","",100,0,0,0
"B0LPE5","",100,0,0,0
"B2M_CHEBI_166824_HLA_A","",100,0,0,0
"B2M_CHEBI_166824_HLA_B","",100,0,0,0
"B2M_CHEBI_166824_HLA_C","",100,0,0,0
"B2M_CHEBI_166824_HLA_E","",100,0,0,0
"B2M_CHEBI_166824_HLA_F","",100,0,0,0
"B2M_CHEBI_166824_HLA_G","",100,0,0,0
"B3GNT3","",100,0,0,0
"BABAM1","",100,0,0,0
"BACE1","",100,0,0,0
"BACE2","",100,0,0,0
"BACH1","",100,0,0,0
"BAD","",100,0,0,0
"BAG1","",100,0,0,0
"BAG2","",100,0,0,0
"BAG3","",100,0,0,0
"BAG4","",100,0,0,0
"BAG5","",100,0,0,0
"BAG6","",100,0,0,0
"BAIAP2","",100,0,0,0
"BAK1","",100,0,0,0
"BAMBI","",100,0,0,0
"BANP","",100,0,0,0
"BAP1","",100,0,0,0
"BARD1","",100,0,0,0
"BARD1_BRCA1","",100,0,0,0
"BARD1_BRCA1_BRIP1_CHEBI_49883_TOPBP1","",100,0,0,0
"BARD1_BRCA1_CHEBI_29035_CHEBI_29105_CHEBI_4705_MRE11_NBN_RAD50_RBBP8","",100,0,0,0
"BAX","",100,0,0,0
"BAZ1B","",100,0,0,0
"BAZ1B_CHEBI_18111_DDX21_DEK_ERCC6_MYBBP1A_MYO1C_SF3B1_SMARCA5","",100,0,0,0
