"","P16902_146","P16902_147","P16902_148","P16902_144","P16902_145","P16902_149"
"PTPLAD1",12.3474659383429,12.3508012497775,12.2574482078037,12.3911377870846,12.1843520824554,12.5367925169438
"IPCEF1",7.11618018037421,7.20954211151148,6.52664985962964,6.63747569525174,7.11981699628916,5.73777627602365
"ZZEF1",10.9943724842431,10.9611335487209,11.0805214886774,10.7352838268451,11.0300390089554,10.5536322756376
"ENO1",13.2327968174093,12.8860685475668,12.9223184124504,14.0676607119187,12.9303656874052,14.7684478333913
"SLC12A1",5.83411797820783,5.92395793531019,5.56693702969189,5.77536139914715,5.61575483702208,5.75680447202851
"C19orf10",8.21311353050452,7.93121104702694,8.06508672927444,8.29871148734869,8.24802647612564,8.75544240551484
"ANO8",9.00538575784659,8.68012850292475,8.78813386699181,8.46221083381507,8.98102587777097,7.46616498671517
"TUBE1",9.43980557591928,9.41907015852302,9.47977251912826,9.16673918171736,9.25515544578897,8.81139499085974
"ARHGEF10L",9.60469715082881,9.22998684560074,9.7682781516922,9.86632734775005,10.1123389816018,8.94242885835458
"WSCD2",8.03232150805896,7.84398320320908,6.82449048673678,11.1712878606377,7.90938740898269,12.2020833606704
"KCNQ2",9.96210278067534,9.68355899210578,9.99554791232201,9.87660810610123,10.2214099969489,8.58699448060545
"ACTR6",9.33194936777295,9.49603300340026,9.16817070911359,9.32964257461733,9.45736964043479,9.30989162665057
"TIPIN",7.16902082071916,7.37856072812948,7.31014150476043,7.46460118607582,7.10811313039174,7.6805890691043
"SRI",10.0336665781709,10.1585911452419,10.0239963796131,10.5804265273715,10.1651430073538,11.1507577251869
"EIF4G3",12.191543259921,12.3183109235326,12.1199004544949,12.1739858420569,12.2058439529121,12.2751717672216
"NUP37",6.92676259669851,7.10977802219848,7.3271073717309,7.77804094914846,6.97235471318137,8.29581737308345
"SEMA3A",9.99628300044947,10.2138185248118,10.777564300692,9.88172111709347,10.5911911467288,10.3949298238814
