"","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"TMEM260",9.76704977691893,9.6218265859423,9.57931853721571,9.4848210312586,9.71605227433227,10.0994765107226,9.97490190920126,9.55712799257689,9.64775801011491,9.62916836826397
"SMG6",10.4593248049958,10.5944225127527,10.8508777879313,10.8672267443975,10.7377206639737,10.7272550128819,11.0687700736875,10.660855070412,10.8589163167079,10.6698645926993
"EXOC5",12.1098419969896,11.9626934712466,11.8501985886616,11.9210583149412,12.0791737861898,12.1791098921135,12.1799095498783,11.7878189314378,11.7449765362072,11.9221469927528
"CLTCL1",8.57533286234471,8.43072426105741,8.62086947260807,8.70215380322208,8.55429498631684,8.47033633262737,8.46392354488738,8.46082874357309,8.56790336727973,8.71014472702692
"FSTL3",5.94808552740883,5.60841041119457,5.87786876235795,6.39120467277957,6.29258586184068,5.92055317799763,6.03458461144422,6.05424906441673,6.03807265202381,6.61801278220005
"DGCR2",9.82534492834295,9.61150191476623,9.49454137356316,10.0727127821277,9.99407589323868,9.39233727081729,9.88296759850378,10.2310575044012,10.4636377790053,10.4342079291496
"RNF126",6.1375041441216,6.05377817311011,6.33389237685713,6.98647882506032,6.61210780869787,6.26138140491486,5.99130323937923,6.43398394156944,6.90396253782728,6.77468938210882
"MNT",7.46846566754391,7.52372770386101,7.47519505326399,7.62265399179255,7.86675558404644,7.24572636918854,7.73656943457566,7.96615949239902,8.04109510091434,8.17114716900294
"ZXDC",9.68677396458197,9.70186403985949,9.96260593299061,9.75787132992886,9.76358052340071,9.74614789783157,9.67938400326759,9.75980177186963,9.92542259799429,9.73649169334014
"JMJD6",8.82474789017584,9.18327946675302,9.20984030737341,9.43001841820958,8.84391200932572,9.00400523965119,8.92588216323409,9.32340638107393,9.2553317737646,8.94800443201349
"POLB",9.54216418398601,9.30365298612834,9.67551751515779,9.30267742950627,9.26849976810868,9.44670603933511,9.27900495166716,9.32119811412522,9.2553317737646,9.08282297255916
"WIPI1",7.8965771790891,7.67162394645322,7.82978065820271,8.91326619226927,8.2744495615164,7.94316865155362,7.76610839711308,7.49923215288983,7.36021499226714,9.49753580715815
"FRMPD1",6.00534280080557,5.44577041132024,6.74635129805023,6.0648542541008,5.58675018844661,5.66304724235296,5.85092612775913,5.31751899674637,5.59106292500595,5.93620403592778
"GBA2",10.0844676116003,10.0786594817754,10.1749267353657,10.3934643616493,10.2413208901463,10.0129373210075,10.1628129217354,10.2474197574736,10.2108918646179,10.410364981843
"NDST1",10.5387576103332,10.8351637877772,10.5538939543755,11.1816676704462,11.1006418138092,10.8281559704174,11.0318761276302,11.1627210210452,11.3346142598239,11.5976128284694
"ASNS",9.96639829945304,10.1481433434874,9.94141623045419,10.3145698733126,9.78145120618207,9.88383175522919,9.58882265467544,9.66550978356893,9.74820960050692,10.1347642060098
"AP3M2",10.1314265969338,9.94529185044984,10.1884784891872,9.7085008087773,9.87096663320098,9.98872256837616,9.97113372097002,9.85594512511904,9.60391299058968,9.6803643777605
"CNGB1",6.11220189724044,7.17102081800871,6.72079430527316,5.31336017641667,5.5046369370078,5.48183700295714,4.99723756767575,6.74060303941095,7.29043997677393,4.33057497578978
"ST6GALNAC2",5.38442102628343,5.08409300646659,4.33057497578978,5.69594439773534,4.80179550786164,4.83207515309658,4.33057497578978,5.26862512278149,5.46475892294492,4.88035503537441
"CHAT",4.33057497578978,4.33057497578978,4.33057497578978,5.11302029451282,4.33057497578978,4.33057497578978,4.63083304763756,5.03511598814263,5.31886020869721,4.78036575351024
"PABPC1",12.2763971064642,12.2596952966289,12.3847978289209,12.2500968854218,12.4328100874974,12.4704113388047,12.3851516752927,12.3876282256703,12.2989344749783,12.6397579332978
"TESK2",5.21796471576581,5.44577041132024,5.18529622415279,5.69594439773534,6.24917902937729,6.18468072191825,6.01314112015149,5.73297438668983,5.95602632465925,6.03598929210726
"C16orf80",10.2018687851277,10.1319867121279,10.2261975459995,9.73750543068106,9.85417841021366,9.84581710185244,9.83953464676773,9.89059343914658,9.83178462317263,9.67515180382038
"CSNK2A2",10.7862131711691,10.7670644270459,10.9641789380443,10.4583475097574,10.7294621095695,10.7136037739137,10.7239708301798,10.6730180618445,10.465865247973,10.5554271389891
"PTPN21",10.1414981283158,10.1851526287084,10.3256196576073,10.0840464017336,10.3192173478003,10.4389880573129,10.4110423556093,10.0576572017944,10.1190432730491,10.2231117238091
"EIF2B3",8.81397507882862,8.89459912112497,9.4044609124803,8.95271496237795,9.04392791628089,9.07480288638176,8.95673632074435,8.7212120673128,8.63690959530821,9.03203538182104
"CAMK2A",6.42682383668568,7.73055942415013,7.17683160721047,7.471251144021,7.38083505444332,6.99933838469579,6.7578511090938,7.23949828586008,7.87560078793004,7.20860954535669
"TCOF1",10.0359274374355,10.0154759653713,10.0040731965734,10.5382008261414,10.3554501397532,9.92086953117444,10.2627723560458,10.4689028733726,10.5986678201365,10.8746440295385
"CDC42",12.4625937401433,12.4454296205401,12.64766378937,12.3439684906102,12.4682546115794,12.4540870181059,12.3425391684755,11.9905695966912,11.9293631804515,12.4377122310662
"OSBPL3",10.1991161952883,10.4542015621884,9.79847514514245,9.40956161432527,9.44039033289742,9.46187031704679,9.54385375205932,10.4109437639144,10.0464729803666,9.22047586508077
"EPHA8",4.33057497578978,4.71053199576477,4.33057497578978,4.68391578200042,4.66451533263707,4.68607714955073,4.33057497578978,4.87845107423715,4.80349957968967,4.64926641150223
"RAD18",9.83601755185895,9.86501187654542,9.91719945720514,9.90755864290659,9.97090386945998,9.96586730610076,10.0530291113402,9.65503119659892,9.49246075633983,9.90476436153241
"ATP2B1",11.3528704908656,11.2570050389389,11.8523280107043,11.6486964347149,11.4541149983088,11.4696611055423,11.7072376129825,10.8525588536591,10.8891046364743,11.5366821054838
"NCK2",8.95137089217117,8.99342529698201,9.08000969703231,8.98420516463136,9.02903124716217,8.80412892262781,8.91020318854268,9.14510738407899,9.18670056112988,9.28351905076826
"MAP4K4",13.3104619335305,13.443869266462,13.7125751847265,13.0668532118216,13.21811349208,13.2322366461042,13.2140599819399,13.4012693858417,13.2832694925471,12.9059940975439
"MGAT4A",9.47545025165659,9.60631170112176,9.30836777556962,9.36510141393748,9.73635199655617,9.97997491337201,9.99977454316462,9.4859863321999,9.58763264022348,9.32406455449347
"RPL31",12.9356958178135,13.0975942904445,12.4013748036468,12.5523454174113,12.8340041620873,12.7406249220126,12.669810059049,12.9128640708961,12.7323755213851,12.6213670911253
"WDR1",10.9217591612557,10.91390357248,11.2219673134679,11.7613629055997,11.5273942353551,11.0407094442343,11.1941739563838,10.8083474169131,10.9251635218177,12.105341674108
"SNX13",11.1462350299622,11.2302788897951,11.0283709673615,10.8681633656296,11.0179206526878,11.1056635179191,11.0932371433023,11.0809739276426,10.9776159768405,10.778317292778
"ARHGAP10",8.69373923944518,9.05572743515084,8.90477339082027,9.01162908076535,8.59942083417095,8.27753341097609,7.48930801892126,8.79316626534375,8.70653036042846,9.50539057455886
"RPS6KA2",10.4581741894647,10.5191310067495,10.8061682023772,10.2627967513911,10.1074938711573,9.92452149908558,10.0108287321334,10.4728840288477,10.5226038025762,10.0147514029552
"ING3",9.69069974896651,9.77999537287016,9.51261942390682,9.28874130056986,9.51707594153196,9.71062688646743,9.93160786567737,9.29443130964165,9.4138305050386,9.41236633591537
"VASH1",9.07377011846522,9.08215847710713,9.357215759792,9.37040383315196,9.44263896853633,8.91122866111487,9.32305773259748,9.19421083607106,9.4138305050386,9.78084174448758
"LMCD1",6.57706907536306,6.67600528654765,5.82619982080864,6.47678337193853,6.3345516624669,6.10290823971423,6.23041933390007,7.12036261891632,6.70006665384563,6.71981365019453
"WBSCR22",9.11820613459136,8.75598464175692,9.20094526276637,8.91326619226927,9.02001862795701,8.85484782763908,8.9794501003435,8.98964852871295,8.83984322303,9.20608324883072
"SEL1L",11.1093342736063,11.0054126980849,11.0994221206673,10.9597604397204,11.0050549041359,11.0731409743459,11.1409603706952,10.9248140399879,10.7525536264955,11.1434218824809
"TRIP13",9.02480833202463,8.83808926646705,8.94796757442879,9.02850723895851,9.1822904755331,9.00054542005719,9.08327953870741,8.45680175660539,8.23205089128491,9.29035642468632
"ATP6AP1",9.9402597706227,9.93704881629001,9.87031599515711,10.0530739942767,9.72900332231263,9.48432152478027,9.54723334791975,9.96174399867457,9.94631680105936,10.0147514029552
"TCF3",9.89334485635799,9.53434980186797,9.81313264655728,10.1579198798329,10.1954145293803,9.53299461822125,9.83262844320972,10.0708526539071,10.4009939294366,10.8378146458691
"TRIB2",11.0379744375725,11.2090489958804,10.86500953853,11.0300724129544,10.9874636077861,10.8901485532965,11.0209858164136,11.0652404561159,11.213264806523,10.9369157661814
"DAZAP1",9.25448429022395,9.10811269629198,9.5162079672137,9.44517256741334,9.23515219113164,8.8663022994656,9.22725203773715,9.45006376018681,9.44579953856494,9.82700422992363
"MBD3",8.23055681061916,8.15920713020521,8.10370143347651,8.70215380322208,8.54593557324792,8.05463335029964,8.26418457173874,8.57666132571908,8.83984322303,8.89811249725949
"HLTF",11.7675028407278,11.7978657485198,11.6179469744017,11.5223209118119,11.6071807298182,11.7264815270729,11.8819039103146,11.7745771133026,11.5794956026857,11.3928226957281
"FAM50A",8.58381999914394,8.5493396525412,8.75469209468147,8.83864436269292,8.82332738301684,8.34472705624871,8.61358982831104,8.64899305100393,8.47337092647393,8.81196422246083
"FAM3A",6.74362731002669,6.69644997583384,7.248860784724,7.36761982403203,6.89648398873408,6.56856093298572,6.8284369772831,7.25839808445906,7.42667690324092,7.09643407849447
"CPSF1",8.48757952964485,8.50530207845002,8.12274358293433,9.37304773904458,9.04096089835516,8.06797301493373,8.95673632074435,9.6409401451213,10.0239699158107,9.65587606591399
"MYO3B",4.67050226832838,4.86638489070362,4.33057497578978,5.03209247546797,4.80179550786164,4.68607714955073,4.33057497578978,4.87845107423715,4.99646340112394,4.64926641150223
"CYBRD1",7.08763688158989,6.97089804705296,7.19519179828587,8.46453493771966,7.83952492515093,7.83009609149292,7.78354087682577,6.98999047533913,6.76153110781847,9.01561737735898
"CDH19",4.33057497578978,4.98495933069681,4.33057497578978,7.33497524910694,6.00584654457239,6.01522858824293,4.84878597012825,4.64815398230621,4.90851164935756,5.79799548830163
"PDCD2",10.4798804275606,10.4455128339639,10.3479310891482,10.0514252885963,10.022902340296,10.3067431813135,10.3042912144591,9.99673580940038,9.85236834227089,10.1930451091844
"SLC6A15",10.334454958293,9.63207779808106,10.3153628412653,9.70220884573395,9.26596181714208,9.27129655533158,9.27697016580078,9.13256519358401,9.14277944129134,9.12168924952365
"RDH11",10.9709888619344,10.9012516749161,11.1499270986037,10.7078967105511,10.832445352722,10.8628189846471,10.876086816851,10.5893129193871,10.524742097671,10.5296771454546
"PRKACA",8.95464302896833,8.88175418089107,9.17846413350888,9.40181477332085,9.16876602107106,8.64025253949075,8.97191863244954,8.81846296296725,8.9586678737967,9.39766858079246
"LPHN1",7.69864650386305,8.04821559962108,8.34964422793943,8.99798248585881,8.19635706526768,7.1344598005989,7.67557724181171,8.33480522495755,8.96498989289441,8.94800443201349
"ACTN1",9.4731723525756,8.98544429841315,9.4614178855726,11.0623477023923,10.7422883984981,10.3790455633023,10.4073296319755,9.56461268670703,9.63395150913844,11.8449912654295
