"ID","statistic","log2FoldChange","padj"
"RPA3-AS1",0.335929319666002,0.0648302826691609,0.879505038235675
"PPP1R3G",-0.430330555766573,-0.556043786200323,0.844241646038541
"HIGD1AP16",-0.199576326944914,-0.146170499809811,0.931591085380852
"FAM228B",-3.07134711046204,-0.886887117109696,0.0317648475793573
"ZSCAN12P1",-1.28140443208537,-0.502297774666041,0.466261260273507
"RPL35P3",-1.18025379532642,-0.790506893475493,0.510741177152903
"LINGO3",0.807391046505311,0.818392622807946,0.676988347939296
"LAP3P1",-1.61926701640486,-1.49441820741472,0.334001858708221
"ZGLP1",-0.0524399326300158,-0.0269065858283613,0.982486404351453
"VAMP2",-2.85307384702749,-1.04200397558913,0.0511712196129978
"HNRNPH1P1",-0.375222827633257,-0.217073100529672,0.864371808928742
"HIST2H2BD",-0.761276972405088,-0.470310452306427,0.69772773522353
"KRT8P42",-1.65182696882281,-1.77593193794431,0.322642843901173
"YAP1P1",-0.690398642339375,-0.943580844531416,0.731104915636512
"VIMP1",0.891166594947992,1.39082535600504,0.638281730912932
"PKMP3",-0.420867412041494,-0.147509957073531,0.847837310463511
"RPL35P2",-1.0557073859507,-0.958337917839867,0.563913385478635
"DDX18P6",-0.569206850949572,-0.91013680706699,0.785443626190657
"RCC2P7",-0.168919405592871,-0.130432158312867,0.943840145052752
"RPL5P18",-0.633467142899486,-0.230820865272728,0.757223774965629
"RPL21P28",0.497853207089466,0.227207449882536,0.814769396298686
"MTMR9LP",1.79410986163999,0.793545536025568,0.273383956616132
"RPS18P9",0.834547083367846,0.334405441391222,0.665464232474727
"HSPE1P26",-2.42752551877662,-1.23447225973365,0.111261150140784
"MRPL35P1",1.96344712633971,1.70638153349874,0.222475591551986
"MIR1193",-3.58551829809558,-5.94205225022474,0.00862130862420692
"MIR1302-3",1.19625226724117,0.934908401033852,0.503347853920717
"MIR1296",-1.40501281952554,-0.89948457474103,0.416035497586392
"SNORD111",0.819560411969614,0.716413784299786,0.671733071355288
"MIR1254-1",-0.359656142998952,-0.140534081377603,0.870546985669718
"MIR1262",1.68832138402359,2.3045730966357,0.309292988110357
"MIR548E",-0.534120908345272,-0.343563382981548,0.801173287702297
"RNU6ATAC27P",-0.378572722666073,-0.327879110288379,0.863154290246714
"MIR1305",0.975659353314075,0.792407260610154,0.600754901938319
"MIR1255A",-1.93270111712005,-1.21489643440447,0.231839760833652
"MIR1289-2",-2.39614448799778,-3.16790569330347,0.117149329581019
"MIR663B",-1.51907278561858,-1.72638539476821,0.370751579330766
"SNORA79",0.728411996553731,0.430278777155388,0.712838891072846
"MIR1200",-2.13869701394955,-1.67150725728096,0.174917675446409
"MIR320B2",-0.910068981143951,-0.928897842691091,0.630576062456039
"RNU4ATAC16P",-0.298790761701619,-0.207911628887935,0.894265240484353
"MIR1301",-0.892381412606807,-0.958078502398415,0.637773126290157
"MIR1271",-0.95138478746648,-0.72818333677079,0.611470103741674
"MIR1251",0.156329761189385,0.0790257509094934,0.948376054169757
"SNORA34",-0.365954839483786,-0.14091806191194,0.867757715883228
"SNORD100",0.792126571304967,0.403746504538199,0.683659637530883
"MIR1245A",2.21279088210493,3.96440768701278,0.157081950258882
"SNORD111B",-0.140041907911792,-0.103922647717554,0.953863056953859
"MIR1285-1",-1.32773032230542,-0.823409849854147,0.448211085933867
"SNORD99",-2.11994615260757,-1.1461524509358,0.179436467581359
"RNU6ATAC10P",-0.846027498976164,-1.0915056156894,0.660595205660535
"MIR1249",-1.03499338949333,-0.918755996469399,0.573066194974028
"MIR1185-2",-4.20158942366456,-6.2812688171075,0.00126168005172561
"MIR1179",-1.54922182932842,-1.96348861793876,0.359864254270375
"MIR1276",0.851793570488431,0.623240629143779,0.657648325387856
"SNORA77",-0.390253555935229,-0.273474040952652,0.858132606934699
"MIR1267",-2.95473415237549,-1.48736203818563,0.0412574748976438
"RNU6ATAC",-0.663767643813402,-0.290453997529009,0.742250343635235
"MIR1278",-0.730247517437142,-0.787246200844077,0.71199652608092
"SNORA11",-0.298560442783868,-0.127210929009535,0.894265240484353
"MIR1289-1",0.29488314046567,0.234036574181255,0.895738427894798
"MIR1205",-0.517222203797561,-0.648854754269296,0.807746075617111
"MIR548F2",-0.129605979107628,-0.0838890331937436,0.95726436591653
"MIR1183",-0.242104816392955,-0.23967905899932,0.914294301733655
"MIR1252",0.0212251297850778,0.0154140790225848,0.992222731486332
"MIR1256",-1.08882714302512,-0.69944878566175,0.549197132107208
"EBF2",-0.609628529959534,-0.32499716544665,0.76732842290589
"C6orf226",0.516201762876642,0.276120622836268,0.808024988215661
"PPP3R1",-2.2630932767065,-0.515857766504584,0.145955779371479
"FANCG",1.14298268717843,0.266537746824932,0.524548339246592
"AP4M1",3.22627161082565,0.583749106056175,0.021435019604563
"C2orf16",-1.18264804502596,-0.860756771160068,0.509906082276702
"PLXNA4",-0.671264522759634,-0.374553590851799,0.739763200451816
