,CD28_146,CD28_147,CD28_148,AD28_144,AD28_145,AD28_149
DDX24,12.77270678,12.74172252,12.50973834,12.72873787,12.78397663,12.62395236
ZBTB25,10.37352938,10.41501354,10.16369816,10.24132359,10.43524353,10.24680254
NECAP1,12.37017486,12.40538201,11.89841764,11.755478,12.30688927,10.520625
ARHGAP4,7.071824225,6.728046454,7.172221498,7.014722121,7.072017193,6.766752263
ANKRD24,7.201219087,6.963848977,6.736068823,6.048162499,7.252235658,6.058056189
DHX32,9.705577582,9.757382252,9.774471247,10.22899966,9.712889299,10.35354852
RCOR1,9.686091,9.693836736,9.837919964,10.14246892,10.00011867,10.18733888
GPATCH2L,12.46348914,12.64089284,12.65504959,12.2078632,12.30095251,12.2179489
LTBP4,8.162163244,8.076609704,8.027254914,8.184564437,8.607098054,6.831581605
BLVRB,7.084104907,6.87700333,7.157211455,7.196403187,7.125963351,7.589292669
SLC9A1,7.928476595,7.940214215,8.231130568,7.30315612,7.725245609,7.195594338
SPTLC1,10.14293442,10.19953142,10.20883136,10.46646841,10.07441855,10.99323346
PAPOLA,12.35545725,12.40082086,12.51908282,12.40906564,12.26870828,12.78555663
CCNK,8.420822023,8.63831647,9.253369373,8.582094979,8.454010469,8.962847493
PCBP4,11.09364989,10.69740743,11.23362948,11.04686744,11.35848853,9.772247619
YPEL3,8.006500989,7.854147811,7.926336517,8.124656471,8.600906276,7.376870091
MRPS33,9.364273448,9.417929074,9.246452836,9.702376299,9.481998307,9.78646575
NDUFB2,10.23696623,10.07702547,10.31831801,10.06038256,9.993063131,9.882248154
NUDC,10.16421037,10.00103165,9.942112382,10.64535214,10.57879015,11.19905671
MAEA,9.827973903,9.518536715,9.887629912,10.01700523,10.16613758,9.746619235
STRN4,11.21139767,10.82226397,11.15742027,11.33373324,11.60082589,10.63848259
MUL1,9.632121333,9.321176698,9.225501473,9.741338362,9.813792748,9.935670068
TFAP4,7.438001213,7.274243887,7.593821203,7.564682918,7.947737628,6.952532883
PDCD7,9.086417745,9.305166455,8.92974792,9.240771843,9.266660707,9.27916789
SPG21,10.35884227,10.20076716,10.39842056,10.611171,10.329071,10.8366359
DNAJB11,10.41553162,10.54230682,10.3000819,10.65393693,10.48218044,11.10517717
