"ID","statistic","log2FoldChange","pvalue","padj"
"HS3ST2",-0.17866422655333,-0.146819729115289,0.858201360230911,0.923470195296341
"RBBP6",-0.253297755543451,-0.0367136560236916,0.800038130386038,0.890519836089587
"ZC3H7A",0.348718289234693,0.0602950477139698,0.727300812355411,0.845655106819843
"SERAC1",-0.686819872374529,-0.10025016926764,0.492196245316242,0.683564488957902
"FAM35A",-2.41795748169761,-0.323199107196894,0.0156079004520684,0.0893248250872107
"FAM213A",1.29730461182544,0.337368326773423,0.194526398211584,0.399128951376509
"ZNF205",0.321008626047061,0.104883431900219,0.748203853938374,0.857965004797078
"NAA60",0.622617919253703,0.258689442032677,0.533535632848862,0.715018064337177
"RPL5",2.09323245103465,0.463538713414905,0.0363284092395482,0.149372724437956
"ODF2L",-2.54290199863055,-0.40428590784654,0.0109936058711635,0.0714807416787158
"PTGFR",1.86825037137057,0.631728127388314,0.0617271806550735,0.20341465945167
"SPATA1",1.16254074621514,0.744957836339818,0.245015883642323,0.456253431329308
"TRMT13",-1.39479017315766,-0.272834945876195,0.163079123094318,0.360301709310882
"LRRC39",-2.75807225254341,-1.1129288830594,0.00581433448809702,0.0477360382029279
"RWDD3",-0.634519376395519,-0.116725778802897,0.525741925590718,0.709101914636743
"ZNF644",-1.6166729868382,-0.200269556260309,0.105948887885674,0.279324117074599
"CCDC18",-1.2449432185426,-0.244467698405045,0.213152622919084,0.421527073747393
"RPAP2",-3.98645375053647,-0.64319897099882,6.70681938041759e-05,0.00196380573452859
"PQLC1",0.298920491508791,0.0848831586625253,0.76500071158077,0.868335983535324
"NBPF14",0.265805752151066,0.117179513656009,0.790388812961065,0.884246230392529
"BBS9",1.19962267346232,0.302936551283016,0.230285916725292,0.439901579787761
"PMS2",-0.399468540051062,-0.0706313133497635,0.689548000030905,0.821150020034101
"ZMIZ2",-1.16999372541298,-0.406582200927094,0.242003493915072,0.452892619942772
"OCM",-2.0954556817479,-1.69929682150127,0.0361305041631205,0.148975999270953
"SEPT7",-2.06045824802035,-0.266494956578865,0.0393547533698889,0.157374373332811
"EEPD1",-1.40709836344647,-1.08448187997306,0.159398223342366,0.35540404980897
"KLHL7",2.41875427554491,0.196902762375284,0.0155737566123011,0.08927406252207
"HERPUD2",-2.14604281612298,-0.249751296395823,0.0318695628693371,0.138111316370275
"CBX3",-0.715458895306619,-0.0862736101643467,0.47432553136326,0.66927637217386
"HNRNPA2B1",1.73078916677462,0.337977646335562,0.0834893747697881,0.242689183553274
"WIPF3",-1.46614023420164,-0.803023688811937,0.142610086620865,0.333932615965038
"NXPH1",-2.25829343449188,-1.38391498324586,0.0239273713492378,0.115268591083087
"NPY",3.2279226494251,6.02480165405224,0.00124692686326618,0.016439476304258
"FAM126A",-0.302265389846296,-0.0633808485045763,0.762449759980722,0.867245397120745
"INHBA",1.15367175221305,0.811568980811204,0.248634769113449,0.460269384075064
"FKBP9",0.350866253555067,0.12428910988152,0.725688689703545,0.844560579255539
"NT5C3A",-2.27921393000137,-0.62257918518826,0.0226543514343518,0.111109697477273
"ARL4A",3.61361646098112,0.975700820795925,0.000301955632045928,0.00599388730413692
"CCZ1",1.69117897646944,0.238801438194859,0.0908026250275091,0.255031528260023
"POLM",1.31372287754489,0.237081699275622,0.188939479236303,0.392418861810606
"FTSJ2",1.63185381340342,0.234942754898831,0.102710285731047,0.274299858986089
"TWIST1",1.86341778099314,1.50365778173709,0.0624035102846286,0.2044965004252
"SMU1",1.70082514631027,0.265464775358342,0.0889758258446949,0.251705485823213
"GLIPR2",2.13350616241031,1.08475116969263,0.0328832266777878,0.141098499671218
"SLC25A51",-0.236009801644289,-0.0486539553693189,0.813425064385697,0.897711584163018
"CLTA",0.630230164570948,0.0673559113609768,0.528544006307529,0.711085727307497
"RECK",-0.0732063723080862,-0.0250432023750696,0.94164189562795,0.969255189681374
"ACO1",1.95093358322665,0.736961883697847,0.0510649470477737,0.18301127038384
"KIAA1045",-2.05810060907428,-1.98654761373002,0.0395804765690484,0.157886644086107
"DNAI1",2.44869230658213,2.08445472751641,0.0143375870116956,0.0853812994105265
"DCAF10",-0.95174571188977,-0.157096114302804,0.341225960364475,0.551916865786806
"CNTFR",-1.252193894707,-0.647917317488192,0.210499220150384,0.418355719952117
"KIAA1549",-1.96313782726394,-0.597966187256779,0.0496301612082102,0.179969317345633
"TRIM24",-1.05521343021243,-0.329855514745977,0.291327723186902,0.502813451152015
"C7orf49",2.07013666774922,0.692764517360979,0.0384395479768838,0.154866766294173
"CALD1",1.77940001582269,1.01425164131117,0.0751742038840003,0.228859359561878
"NUDT10",-0.281369480106194,-0.0690965869344968,0.778427024263962,0.877098769924626
"PLAU",2.31612618571889,1.70728855753654,0.020551379943559,0.104612226721934
"CHST3",2.26039815902524,0.657569987154548,0.0237965506647438,0.114858104755597
"BICC1",0.999030708192547,0.310945388144268,0.317779815682652,0.528743138666992
"CISD1",-2.14386031051278,-0.635963749375372,0.0320440811708334,0.138713413260874
"ECD",0.318196270109643,0.048426940986942,0.750336061875474,0.859288835932886
"P4HA1",2.45846989552003,1.23931426879546,0.0139530474261102,0.0837991028892825
"SLC25A16",-1.86644753652057,-0.408471425183842,0.0619787776417036,0.203976832242403
"ZWINT",2.41249397292594,1.26228488069981,0.0158437993928623,0.0901290338989337
"VPS26A",-0.0352140023810263,-0.00495367193130024,0.97190909687092,0.984871609689204
"RBM19",0.925496903541467,0.149263679571598,0.354707493634378,0.564553407701416
"CIT",-0.55031202918846,-0.163314501411404,0.582105374957952,0.751704867720427
"IFT81",1.51212466911887,0.480974262082357,0.130502150210522,0.316569380292864
"ACADS",-0.305699414409773,-0.183777551997958,0.759833519211631,0.865260679902228
"DDX54",2.41245321843879,0.553411671161111,0.0158455707751061,0.0901290338989337
"MED13L",0.43229958737708,0.0482525861795514,0.665523687025515,0.80549203729736
"CDKN2C",2.09428640166914,0.989418093332823,0.0362344749558757,0.149160460076418
"RNF11",-0.687567404945257,-0.106577064117427,0.491725240196568,0.683120828231902
