"","CD28_146","CD28_147","CD28_148","AD28_144","AD28_145","AD28_149"
"FAM178B",5.02384056115107,4.98435150267079,4.35914531646363,4.74775892618177,5.00755046522677,4.89645055827886
"TSPY2",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"SEMA4C",10.2967455750225,9.91219810545994,10.3011969732395,10.3156155444799,10.7875606496741,9.63478479106449
"CNNM3",8.20247713049971,8.20967977410499,8.7105653251558,8.84187949375447,8.74116584121573,8.61916373122244
"GSTM4",7.16406946849597,7.07482792279034,7.07845634709792,6.82967601318828,6.75447462828575,7.25276034235361
"TET2",12.7007996334741,12.8354463676434,12.8608227924418,12.6891720829868,12.7946003056185,12.1210492071109
"CXXC4",11.7572968434549,11.8186887037576,12.2949517488213,11.5393807567176,11.6620785447505,11.3463906719227
"TCTN2",9.67914933317566,9.69077562395925,9.60941685891409,10.6312536292208,9.79019744969007,11.3722203546743
"SHOX2",6.11549979506917,6.19935158865004,5.68497171798467,5.46806639867085,6.34698125112128,5.05019389507091
"PPIP5K1",8.62054594223087,8.63378229169436,8.56525358610113,8.39733984855437,8.56237554045254,8.4063675589476
"TSPAN5",10.919142565234,10.9323781661048,10.8673333422045,11.0782707193376,11.4623025085543,10.3088018390995
"OR12D2",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"ABHD15",6.03716087461231,5.77889685973238,6.94742230997482,7.03018181363532,6.46866641537323,7.47460376994348
"ZBTB5",10.4657579354054,10.6232997599244,10.5009233217017,10.5692921476227,10.597280912049,10.4079667699418
"CHTF8",8.71895130225968,8.76646190919155,9.07482465864521,9.1975595442252,8.99871332910036,9.52055796593188
"ADAL",9.56968882050005,9.53950159896144,9.36209185649358,9.52864185507535,9.25542909451937,9.79933212229097
"LCMT2",9.40710842639244,9.63322586207924,9.43250604521198,9.34956698112696,9.50204286691784,9.41081208921823
"SNTB2",9.36160059445274,9.51073380026808,9.5445579357203,9.58464507701145,9.24342389610563,9.72104866171556
"IL12A",5.23283990422219,5.42604929194746,5.81921327440769,6.64015036101124,5.99936357980245,6.26376807488908
"ZNF507",10.8523676076363,10.9156615703082,11.0946999837591,10.8074397438153,10.7406932134164,10.8062929621594
"STX18",9.6849933466919,9.7245675579926,9.7974306831353,10.136100932472,9.81608066350279,10.4940416507245
"ZBTB49",9.07141433440713,8.8729055082096,8.80140778057927,8.65568656449689,8.79430584198863,8.38988693687913
"GFM1",11.2017742787704,11.3313297823459,11.0651576995063,10.9204936748685,11.172488064379,10.7243428410418
"OR13J1",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"HTR1E",5.83099363753164,5.9191063021519,4.73884369284858,4.90709158054878,5.00755046522677,4.35914531646363
"FSTL5",13.5858494295235,13.6338445395928,12.8083001873319,12.6979813397737,13.0406554453054,10.6261061552304
"TPTE2P5",7.05761563933393,6.66520360090253,6.91260471785731,6.78981202026268,6.89845730513828,6.52588066628286
"DDX19A",10.6190592149228,10.5861168290966,10.3853611527983,10.8774791428694,10.8121279718077,11.1772900368854
"ATOH8",7.24155267105822,6.80291262982963,7.30823736405403,8.7593163967551,6.89845730513828,9.64347407555418
"SOX14",4.35914531646363,4.67357758799739,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"ANKRD49",8.96003960213739,8.94643114555237,8.67052701597125,9.08450728599851,9.0931929850268,8.85924835819642
"SFTPB",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"USP39",9.94082418454834,9.90926294497283,10.3142200859263,10.5186163440504,10.2639102271602,10.7567234272172
"TNIP2",8.0037807879376,7.60359520059904,7.90360906958941,8.30773436902806,8.23373026017885,8.33927532920933
"C2orf68",10.1495940649277,10.0290190099323,9.98831026359942,10.4835637191262,10.2389557206878,10.7373824415768
"TMEM150A",7.72782230392367,7.55124500155632,7.78606277756291,8.09783599660169,7.66204279114753,8.51671025845452
"RNF181",9.61529222148193,9.293711567244,9.78578739642835,9.87108531205587,9.63045816200482,10.0987365126999
"VAMP5",4.83121517338275,4.90163482965664,4.73884369284858,5.76171340422,5.12383901961582,6.67519832622101
"BTNL3",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"LRRC28",9.67914933317566,9.81360600347161,9.86094985322939,9.88143880628763,9.41733318808484,10.5915159729297
"MAT2A",12.0449267654709,11.9095803253704,12.2452575958964,12.2689214462925,12.3480913630612,12.5142703508796
"PLA2G4F",4.35914531646363,4.67357758799739,4.35914531646363,4.35914531646363,4.77129005736531,4.35914531646363
"ENHO",9.94407622647499,9.5806815999613,10.3573244775289,9.7343361617972,9.99249576071113,8.39815095590208
"ZNF608",12.5157494652862,12.4690241059373,12.6771274522924,12.6945619066621,12.857088019199,12.3038845681705
"SLC35G2",9.09503527550036,8.94643114555237,8.81064427451254,8.07383431166035,8.24585803731407,7.28926810257572
"INPP5D",5.16974233130755,5.33663201818127,6.63998820040225,6.40540071879354,5.76497257609518,7.14711821531391
"LETM1",11.0733200524443,10.7912914024166,10.8018161309913,10.9415292680089,11.1345728099232,10.5942064104146
"CTRB1",4.35914531646363,4.35914531646363,4.73884369284858,4.35914531646363,4.35914531646363,4.35914531646363
"CTRB2",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"TRIM49",4.35914531646363,4.35914531646363,4.35914531646363,4.74775892618177,4.77129005736531,4.35914531646363
"TMEM129",9.11539016663767,8.69995344609773,9.29464754195434,9.74066945607611,9.65331188120651,9.88827550967968
"PPIC",6.32425878621524,5.68525724274135,6.20855722136811,7.52414403802533,6.48309977036231,8.88001184839441
"SPRY3",8.70365275556861,8.69995344609773,8.65008113587374,8.05351963420292,8.1544340505794,7.44267939350001
"CEP120",10.7087602072613,10.8008222825284,10.7832060866615,10.7439440059684,10.7061547769246,10.4844053396318
"STXBP6",8.29744983537801,8.21446427409174,7.73812613407604,6.87790796287551,7.48788223943799,6.22433782903318
"TM4SF20",4.35914531646363,4.35914531646363,4.73884369284858,4.35914531646363,4.35914531646363,4.35914531646363
"MFF",11.622276551136,11.6474772868358,11.5889992055484,11.5620757510655,11.5189468317255,11.5355447699695
"GRM5",11.9623720407005,11.9625494654368,11.7449792517115,10.5178793460638,11.5582024234485,8.22770868720546
"LGALS9",5.49136117719392,5.5456274549866,5.01308916994417,5.17509524268459,5.35239340201832,5.76616908030953
"PMCHL1",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"JMJD7-PLA2G4B",7.80200073050489,7.4809451045929,7.30823736405403,7.77906614114472,8.01950553921519,7.32484399906209
"OR7E102P",4.35914531646363,4.35914531646363,4.35914531646363,4.63435070154248,4.35914531646363,4.35914531646363
"CPLX1",6.25849395368139,5.9191063021519,6.68249477541075,5.76171340422,6.10086913087567,5.27948770847379
"PXDC1",7.8235180780493,7.38137961177076,7.68850994101695,9.68920614758251,7.88088594663866,10.8534669743378
"SIGLEC7",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"NTSR2",4.69369021713362,4.35914531646363,4.73884369284858,4.35914531646363,4.35914531646363,4.35914531646363
"E2F6",9.54633409083875,9.58987876841897,9.84981052632975,9.55619751935727,9.4030172894231,9.5614838750307
